VARSIG3	object
VARSIG2	object key
VARSIG4	customdatabuilder custom data builder customdatabuilder custom data builder
COMMENTS	assists creation link builder types eventually implement link customdataaccessor custom data accessor constructor empty builder constructor builder initialised custom data existing can appends custom data builder customdatabuilder custom data builder custom data append set custom data builder instance builders values sets builder builder link customdatabuilder custom data builder copy customdatabuilder custom data builder builder set required
CLASSES	abstractcustomdataaccessorbuilder custom data accessor builder
VARSIG1	customdata custom data customdata custom data
VARSIG0	customdataaccessor custom data accessor existing
METHODS	abstractcustomdataaccessorbuilder custom data accessor builder abstractcustomdataaccessorbuilder custom data accessor builder append getcustomdata custom data putcustomdata custom data setcustomdata set custom data
MTHSIG4	putcustomdata custom data object key object
MTHSIG5	setcustomdata set custom data customdatabuilder custom data builder customdatabuilder custom data builder
MTHSIG0	abstractcustomdataaccessorbuilder custom data accessor builder
MTHSIG1	abstractcustomdataaccessorbuilder custom data accessor builder customdataaccessor custom data accessor existing
PACKAGE	springframework roo model
MTHSIG2	append customdata custom data customdata custom data
MTHSIG3	getcustomdata custom data
VARIABLES	existing customdata custom data key customdatabuilder custom data builder customdatabuilder custom data builder customdatabuilder custom data builder
