VARSIG6	javatype type annotationtypetomatchon annotation type match
VARSIG3	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG2	memberholdingtypedetails member holding type details key
VARSIG5	annotationmetadata annotation metadata annotationmetadata annotation metadata
VARSIG4	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
COMMENTS	link typematcher type matcher set annotations constructor customdatakey custom data key link customdatakey custom data key apply required annotationtypestomatchon annotation types match
CLASSES	annotatedtypematcher annotated type matcher
VARSIG1	javatype type annotationtypestomatchon annotation types match
VARSIG0	customdatakey custom data key memberholdingtypedetails member holding type details customdatakey custom data key
METHODS	annotatedtypematcher annotated type matcher getcustomdatakey custom data key gettagvalue tag matches
MTHSIG0	annotatedtypematcher annotated type matcher customdatakey custom data key memberholdingtypedetails member holding type details customdatakey custom data key javatype type annotationtypestomatchon annotation types match
MTHSIG1	getcustomdatakey custom data key
PACKAGE	springframework roo classpath customdata taggers
MTHSIG2	gettagvalue tag memberholdingtypedetails member holding type details key
MTHSIG3	matches list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARIABLES	customdatakey custom data key annotationtypestomatchon annotation types match key memberholdingtypedetailslist member holding type details list memberholdingtypedetails member holding type details annotationmetadata annotation metadata annotationtypetomatchon annotation type match annotationtypestomatchon annotation types match customdatakey custom data key matched
