VARSIG7	requestingclass requesting
VARSIG6	componentcontext component context componentcontext component context
VARSIG9	classorinterfacetypedetails type details currentclass current
VARSIG8	classorinterfacetypedetails type details cid
VARSIG3	metadataprovider metadata provider
VARSIG2	metadataprovider metadata provider
VARSIG5	metadataprovider metadata provider
VARSIG4	memberdetailsdecorator member details decorator decorator
COMMENTS	implementation link memberdetailsscanner member details scanner automatically detects link memberdetailsdecorator member details decorator instances osgi container delegate execution link getmemberdetails member details classorinterfacetypedetails type details internally implementation visit link metadataprovider metadata provider link memberdetailsdecorator member details decorator order type essential add developer rely behaviour correct metadata infrastructure require special type naming approaches employed ordering behaviour exists solely simplify debugging add developers log comparison invocations mutex empty create list discovered members build list representing hierarchy element absolute superclass note top list add governor superclasses locate metadataprovider metadata provider instances provide itds memberholdingtypedetails member holding type details skip providers skip determine key provider type metadata ensure type details capture member details turn list discovered members result loop time complete full loop result
VARSIG1	memberdetailsdecorator member details decorator
VARSIG0	memberdetailsdecorator member details decorator
MTHSIG4	unbindmemberholdingdecorator unbind member holding decorator memberdetailsdecorator member details decorator decorator
VARSIG12	memberdetailsdecorator member details decorator decorator
MTHSIG5	unbindmetadataprovider unbind metadata provider metadataprovider metadata provider
VARSIG11	memberdetailsdecorator member details decorator decorator
VARSIG10	metadataprovider metadata provider
MTHSIG0	bindmemberholdingdecorator bind member holding decorator memberdetailsdecorator member details decorator decorator
MTHSIG1	bindmetadataprovider bind metadata provider metadataprovider metadata provider
PACKAGE	springframework roo classpath scanner
MTHSIG2	deactivate componentcontext component context componentcontext component context
MTHSIG3	getmemberdetails member details requestingclass requesting classorinterfacetypedetails type details cid
VARSIG13	metadataprovider metadata provider
CLASSES	memberdetailsscannerimpl member details scanner impl
METHODS	bindmemberholdingdecorator bind member holding decorator bindmetadataprovider bind metadata provider deactivate getmemberdetails member details unbindmemberholdingdecorator unbind member holding decorator unbindmetadataprovider unbind metadata provider
VARIABLES	decorator componentcontext component context requestingclass requesting cid currentclass current decorator decorator decorators lock metadataservice metadata service providers mid memberholdingtypedetails member holding type details cidhierarchy cid hierarchy key metadataitem metadata item itdtypedetailsmd type details result additionallooprequired additional loop required newresult result
