VARSIG3	matche
VARSIG2	modulename module
VARSIG5	actionconfig action config config
VARSIG4	actionconfig action config config
COMMENTS	focuses module action check exact module tailor configurations portable projects names naming conventions modules match patterns modules advanced feature imagine modules named projectname domain projectname domain test cases match comma separated list domain test members list start member module match domain test comma separated list module checked values root check module exists
CLASSES	focusmodule focus module
VARSIG1	actionconfig action config config
VARSIG0	commandtransformation command transformation trafo
METHODS	executeimpl execute impl getdescription description isvalid valid
MTHSIG0	executeimpl execute impl commandtransformation command transformation trafo actionconfig action config config
MTHSIG1	getdescription description actionconfig action config config
PACKAGE	springframework roo addon tailor actions
MTHSIG2	isvalid valid actionconfig action config config
VARIABLES	trafo config modulename module matche config config projectoperations project operations basecommand base command matches matchesall matches match
