MTHSIG13	testsupportspoms test supports poms
VARSIG3	expectedcompletions expected completions
VARSIG2	collection modulenames module names
MTHSIG11	testgetcompletionsincludingcurrentwhennomodulesexist test completions including current modules exist
MTHSIG12	testgetcompletionsincludingcurrentwhenonlyrootmoduleexists test completions including current root module exists
COMMENTS	unit test link pomconverter pom converter fixture set invoke check
CLASSES	pomconvertertest pom converter test
VARSIG1	focusedmodulename focused module
VARSIG0	optioncontext option context
METHODS	assertcompletions completions setup set testconvertothermodulename test convert module testconvertrootmodulesymbol test convert root module symbol testdoesnotsupportothertypes test support types testgetcompletionsexcludingcurrentwhenchildmoduleexistsandchildisfocused test completions excluding current child module exists child focused testgetcompletionsexcludingcurrentwhenchildmoduleexistsandrootisfocused test completions excluding current child module exists root focused testgetcompletionsexcludingcurrentwhennomodulesexist test completions excluding current modules exist testgetcompletionsexcludingcurrentwhenonlyrootmoduleexists test completions excluding current root module exists testgetcompletionsincludingcurrentwhenchildmoduleexistsandchildisfocused test completions including current child module exists child focused testgetcompletionsincludingcurrentwhenchildmoduleexistsandrootisfocused test completions including current child module exists root focused testgetcompletionsincludingcurrentwhennomodulesexist test completions including current modules exist testgetcompletionsincludingcurrentwhenonlyrootmoduleexists test completions including current root module exists testsupportspoms test supports poms
MTHSIG4	testdoesnotsupportothertypes test support types
MTHSIG5	testgetcompletionsexcludingcurrentwhenchildmoduleexistsandchildisfocused test completions excluding current child module exists child focused
MTHSIG6	testgetcompletionsexcludingcurrentwhenchildmoduleexistsandrootisfocused test completions excluding current child module exists root focused
MTHSIG7	testgetcompletionsexcludingcurrentwhennomodulesexist test completions excluding current modules exist
MTHSIG0	assertcompletions completions optioncontext option context focusedmodulename focused module collection modulenames module names expectedcompletions expected completions
MTHSIG1	setup set
PACKAGE	springframework roo project converter
MTHSIG2	testconvertothermodulename test convert module
MTHSIG3	testconvertrootmodulesymbol test convert root module symbol
MTHSIG10	testgetcompletionsincludingcurrentwhenchildmoduleexistsandrootisfocused test completions including current child module exists root focused
VARIABLES	optioncontext option context focusedmodulename focused module modulenames module names expectedcompletions expected completions child module root module converter mockprojectoperations mock project operations completions allvaluescomplete values complete mockpom mock pom modulename module mockrootpom mock root pom
MTHSIG8	testgetcompletionsexcludingcurrentwhenonlyrootmoduleexists test completions excluding current root module exists
MTHSIG9	testgetcompletionsincludingcurrentwhenchildmoduleexistsandchildisfocused test completions including current child module exists child focused
