VARSIG7	metadataidentificationstring metadata identification
VARSIG6	methodmetadata metadata
VARSIG9	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG8	javatype type aspectname aspect
VARSIG3	componentcontext component context context
VARSIG2	logicalpath logical path path
VARSIG5	itdtypedetails type details itdtypedetails type details
VARSIG4	metadataidentificationstring metadata identification
COMMENTS	link solrmetadata solr metadata determine presents interested accessors care formally request update scan process determine governor path stored produce local mid request parse annotation expect acquire bean info getters details notified getter info abort don getter create solr metadata track
VARSIG1	javatype type javatype type
VARSIG0	componentcontext component context context
MTHSIG4	getitduniquenessfilenamesuffix uniqueness filename suffix
MTHSIG5	getlocalmidtorequest local mid request itdtypedetails type details itdtypedetails type details
VARSIG11	methodmetadata metadata
MTHSIG6	getmetadata metadata metadataidentificationstring metadata identification javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata itdfilename filename
VARSIG10	itdfilename filename
MTHSIG7	getprovidestype type
MTHSIG0	activate componentcontext component context context
MTHSIG1	createlocalidentifier create local identifier javatype type javatype type logicalpath logical path path
PACKAGE	springframework roo addon solr
MTHSIG2	deactivate componentcontext component context context
MTHSIG3	getgovernorphysicaltypeidentifier governor physical type identifier metadataidentificationstring metadata identification
CLASSES	solrmetadataprovider solr metadata provider
METHODS	activate createlocalidentifier create local identifier deactivate getgovernorphysicaltypeidentifier governor physical type identifier getitduniquenessfilenamesuffix uniqueness filename suffix getlocalmidtorequest local mid request getmetadata metadata getprovidestype type
VARIABLES	context javatype type path context metadataidentificationstring metadata identification itdtypedetails type details metadataidentificationstring metadata identification aspectname aspect governorphysicaltypemetadata governor physical type metadata itdfilename filename jpaactiverecordmetadataprovider jpa active record metadata provider javatype type path governortype governor type providestype type itdpath path annotationvalues annotation values javatype type path jpaactiverecordmetadatakey jpa active record metadata key jpaactiverecordmetadata jpa active record metadata beanplural bean plural pluralmetadata plural metadata memberdetails member details accessordetails accessor details field identifieraccessor identifier accessor versionfield version field
