MTHSIG0	determinetopic determine topic
MTHSIG1	getcurrenttopics current topics
VARSIG2	missingresourceexception missing resource exception exception
PACKAGE	springframework roo classpath operations
MTHSIG2	getitdcount count itduniquenessfilenamesuffix uniqueness filename suffix
MTHSIG3	hint topic
COMMENTS	base implementation link hintoperations hint operations implementation relies predefined resource bundle hints replaced extensible implementation party add ons provide hints roo details result addall add bundle keyset key set resourcebundle resource bundle keyset key set jdk
CLASSES	hintoperationsimpl hint operations impl
VARIABLES	itduniquenessfilenamesuffix uniqueness filename suffix topic exception ant match directory pattern bundle filemanager file manager pathresolver path resolver projectoperations project operations javabeancount bean count result topic message
VARSIG1	topic
VARSIG0	itduniquenessfilenamesuffix uniqueness filename suffix
METHODS	determinetopic determine topic getcurrenttopics current topics getitdcount count hint
