VARSIG7	modulename module
VARSIG6	gwttype gwt type type
VARSIG3	classorinterfacetypedetails type details governortypedetails governor type details
VARSIG2	list methodmetadata metadata proxymethods proxy methods
VARSIG5	modulename module
VARSIG4	map javasymbolname symbol gwtproxyproperty gwt proxy property clientsidetypemap client side type map
COMMENTS	link gwttemplateserviceimpl gwt template service impl
CLASSES	gwttemplateservice gwt template service
VARSIG1	destfile dest file
VARSIG0	templatecontents template contents
METHODS	builduixml build xml getmirrortemplatetypedetails mirror template type details getstatictemplatetypedetails template type details
MTHSIG0	builduixml build xml templatecontents template contents destfile dest file list methodmetadata metadata proxymethods proxy methods
MTHSIG1	getmirrortemplatetypedetails mirror template type details classorinterfacetypedetails type details governortypedetails governor type details map javasymbolname symbol gwtproxyproperty gwt proxy property clientsidetypemap client side type map modulename module
PACKAGE	springframework roo addon gwt
MTHSIG2	getstatictemplatetypedetails template type details gwttype gwt type type modulename module
VARIABLES	templatecontents template contents destfile dest file proxymethods proxy methods governortypedetails governor type details clientsidetypemap client side type map modulename module type modulename module
