VARSIG3	javatype type idtype type
VARSIG2	javatype type targetentity target entity
VARSIG4	methodparameter parameter methodparameters parameters
COMMENTS	persistence methods layer application priority core layers returns position layer relative large number higher level layers smaller number level layers layer provider determine provide link membertypeadditions member type additions target entity construct provide requested functionality simply callermid caller mid caller caller metadata methodidentifier identifier specifies requested targetentity target entity specifies target entity idtype type specifies type target entity methodparameters parameters parameters passed link membertypeadditions member type additions layer provider offer functionality returns priority layer relative implementations position greater link core layer priority order precedence core link layerprovider layer provider getlayerposition layer position
CLASSES	layerprovider layer provider
VARSIG1	methodidentifier identifier
VARSIG0	callermid caller mid
METHODS	getlayerposition layer position getmembertypeadditions member type additions getpriority priority
MTHSIG0	getlayerposition layer position
MTHSIG1	getmembertypeadditions member type additions callermid caller mid methodidentifier identifier javatype type targetentity target entity javatype type idtype type methodparameter parameter methodparameters parameters
PACKAGE	springframework roo classpath layers
MTHSIG2	getpriority priority
VARIABLES	callermid caller mid methodidentifier identifier targetentity target entity idtype type methodparameters parameters core layer priority
