VARSIG7	metadataidentificationstring metadata identification
VARSIG6	memberdetails member details memberdetails member details
VARSIG9	memberdetails member details formbackingtypedetails form backing type details
VARSIG8	javatype type formbackingtype form backing type
VARSIG3	memberdetails member details memberdetails member details
VARSIG2	javatype type javatype type
VARSIG5	javatype type javatype type
VARSIG4	metadataidentificationstring metadata identification
COMMENTS	service retrieve metadata web scaffolding add ons returns details dynamic finders form backing type formbackingtype form backing type formbackingtypedetails form backing type details consumingmetadataid consuming metadata link springframework roo metadata metadataitem metadata item that details returns details types type basetype base type type types basetypedetails base type details details type metadataid metadata link springframework roo metadata metadataitem metadata item consuming returned details required registering metadata dependencies map includes type link typelocationservice type location service isinproject project javatype type
VARSIG19	javatype type basetype base type
VARSIG1	metadataidentificationstring metadata identification
VARSIG18	javatype type javatype type
VARSIG0	javatype type domaintype domain type
VARSIG17	metadataidentificationstring metadata identification
MTHSIG4	getidentifierfield identifier field javatype type javatype type
VARSIG12	javatype type javatype type
MTHSIG5	getjavatypemetadatadetails type metadata details javatype type javatype type memberdetails member details memberdetails member details metadataidentificationstring metadata identification
VARSIG11	javatype type javatype type
MTHSIG6	getjavatypepersistencemetadatadetails type persistence metadata details javatype type javatype type memberdetails member details memberdetails member details metadataidentificationstring metadata identification
VARSIG10	consumingmetadataid consuming metadata
MTHSIG7	getmemberdetails member details javatype type javatype type
MTHSIG0	getcrudadditions crud additions javatype type domaintype domain type metadataidentificationstring metadata identification
VARSIG16	memberdetails member details memberdetails member details
MTHSIG1	getdatepatterns patterns javatype type javatype type memberdetails member details memberdetails member details metadataidentificationstring metadata identification
VARSIG15	javatype type javatype type
PACKAGE	springframework roo addon web mvc controller details
MTHSIG2	getdependentapplicationtypemetadata dependent application type metadata javatype type javatype type memberdetails member details memberdetails member details metadataidentificationstring metadata identification
VARSIG14	metadataidentificationstring metadata identification
MTHSIG3	getdynamicfindermethodsandfields dynamic finder methods fields javatype type formbackingtype form backing type memberdetails member details formbackingtypedetails form backing type details consumingmetadataid consuming metadata
VARSIG13	memberdetails member details memberdetails member details
MTHSIG8	getrelatedapplicationtypemetadata application type metadata javatype type basetype base type memberdetails member details basetypedetails base type details metadataid metadata
MTHSIG9	getscaffoldeligiblefieldmetadata scaffold eligible field metadata javatype type javatype type memberdetails member details memberdetails member details metadataidentificationstring metadata identification
MTHSIG11	isrooidentifier roo identifier javatype type javatype type memberdetails member details memberdetails member details
CLASSES	webmetadataservice web metadata service
METHODS	getcrudadditions crud additions getdatepatterns patterns getdependentapplicationtypemetadata dependent application type metadata getdynamicfindermethodsandfields dynamic finder methods fields getidentifierfield identifier field getjavatypemetadatadetails type metadata details getjavatypepersistencemetadatadetails type persistence metadata details getmemberdetails member details getrelatedapplicationtypemetadata application type metadata getscaffoldeligiblefieldmetadata scaffold eligible field metadata isapplicationtype application type isrooidentifier roo identifier
VARSIG23	memberdetails member details memberdetails member details
VARSIG22	javatype type javatype type
VARSIG21	metadataid metadata
VARSIG20	memberdetails member details basetypedetails base type details
VARSIG27	memberdetails member details memberdetails member details
VARSIG26	javatype type javatype type
VARSIG25	javatype type javatype type
VARSIG24	metadataidentificationstring metadata identification
MTHSIG10	isapplicationtype application type javatype type javatype type
VARIABLES	domaintype domain type metadataidentificationstring metadata identification javatype type memberdetails member details metadataidentificationstring metadata identification javatype type memberdetails member details metadataidentificationstring metadata identification formbackingtype form backing type formbackingtypedetails form backing type details consumingmetadataid consuming metadata javatype type javatype type memberdetails member details metadataidentificationstring metadata identification javatype type memberdetails member details metadataidentificationstring metadata identification javatype type basetype base type basetypedetails base type details metadataid metadata javatype type memberdetails member details metadataidentificationstring metadata identification javatype type javatype type memberdetails member details
