MTHSIG28	newentity entity javatype type createabstract create javatype type superclass list annotationmetadatabuilder annotation metadata builder annotations
MTHSIG29	newidentifier identifier javatype type identifiertype identifier type identifierfield identifier field identifiercolumn identifier column
MTHSIG26	managegaexml manage gae xml ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database applicationid application modulename module
MTHSIG27	newembeddableclass embeddable javatype type serializable
MTHSIG24	managegaebuildcommand manage gae build command addgaesettingstoplugin add gae settings plugin document document collection
MTHSIG25	managegaeprojectnature manage gae project nature addgaesettingstoplugin add gae settings plugin document document collection
MTHSIG22	isjpainstallationpossible jpa installation
MTHSIG23	ispersistentclassavailable persistent
MTHSIG4	getdatabaseproperties database properties
VARSIG78	providersxpath providers path
MTHSIG5	getdatabasepropertiespath database properties path
VARSIG77	databasexpath database path
MTHSIG6	getdbxpath path list jdbcdatabase jdbc database databases
VARSIG76	jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG7	getdependencies dependencies xpathexpression path expression element configuration modulename module
VARSIG75	ormprovider orm provider ormprovider orm provider
MTHSIG0	configurejpa configure jpa ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database jndi applicationid application hostname host databasename database username user password transactionmanager transaction manager persistenceunit persistence unit modulename module
MTHSIG1	createpropertyelement create property element document document
MTHSIG2	createrefelement create element document document
MTHSIG3	getconnectionstring connection jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host databasename database modulename module
VARSIG79	modulename module
MTHSIG20	hasdatabaseproperties database properties
VARSIG70	jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG21	isinstalledinmodule installed module modulename module
MTHSIG8	getfilters filters xpathexpression path expression element configuration
VARSIG74	element configuration
MTHSIG9	getjndipropertiespath jndi properties path
VARSIG73	persistenceunit persistence unit
VARSIG72	transactionmanager transaction manager
VARSIG71	jndi
MTHSIG39	updatejndiproperties update jndi properties
MTHSIG37	updateeclipseplugin update plugin addgaesettingstoplugin add gae settings plugin
MTHSIG38	updatefilters update filters element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module
MTHSIG35	updatedatanucleusplugin update data nucleus plugin addtoplugin add plugin
MTHSIG36	updatedependencies update dependencies element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module
MTHSIG33	updatedatabasedotcomconfigproperties update database dot config properties ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host username user password persistenceunit persistence unit modulename module
MTHSIG34	updatedatabaseproperties update database properties ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host databasename database username user password modulename module
METHODS	configurejpa configure jpa createpropertyelement create property element createrefelement create element getconnectionstring connection getdatabaseproperties database properties getdatabasepropertiespath database properties path getdbxpath path getdependencies dependencies getfilters filters getjndipropertiespath jndi properties path getname getpersistencepathoffocussedmodule persistence path focussed module getplugins plugins getprojectname project getpropertiesfromdatanucleusconfiguration properties data nucleus configuration getpropertiespath properties path getproviderxpath provider path getresources resources getunwanteddatabases unwanted databases getunwantedormproviders unwanted orm providers hasdatabaseproperties database properties isinstalledinmodule installed module isjpainstallationpossible jpa installation ispersistentclassavailable persistent managegaebuildcommand manage gae build command managegaeprojectnature manage gae project nature managegaexml manage gae xml newembeddableclass embeddable newentity entity newidentifier identifier readproperties read properties updateapplicationcontext update application context updatebuildplugins update build plugins updatedatabasedotcomconfigproperties update database dot config properties updatedatabaseproperties update database properties updatedatanucleusplugin update data nucleus plugin updatedependencies update dependencies updateeclipseplugin update plugin updatefilters update filters updatejndiproperties update jndi properties updatelog update log updatepersistencexml update persistence xml updatepluginrepositories update plugin repositories updatepomproperties update pom properties updaterepositories update repositories updateresources update resources writeproperties write properties
VARSIG67	templatefilename template filename
VARSIG66	exists
VARSIG65	path
VARSIG64	identifiercolumn identifier column
VARSIG69	ormprovider orm provider ormprovider orm provider
VARSIG68	ioexception exception
MTHSIG31	updateapplicationcontext update application context ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database jndi transactionmanager transaction manager persistenceunit persistence unit
MTHSIG32	updatebuildplugins update build plugins element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module
MTHSIG30	readproperties read properties path exists templatefilename template filename
VARSIG63	identifierfield identifier field
VARSIG62	javatype type identifiertype identifier type
VARSIG61	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG60	javatype type superclass
VARSIG99	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG98	ormprovider orm provider ormprovider orm provider
VARSIG97	element configuration
VARSIG92	databasename database
VARSIG91	hostname host
VARSIG90	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG96	addtoplugin add plugin
VARSIG95	modulename module
VARSIG94	password
VARSIG93	username user
MTHSIG17	getresources resources xpathexpression path expression element configuration
MTHSIG18	getunwanteddatabases unwanted databases jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG15	getpropertiespath properties path propertiesfile properties file
MTHSIG16	getproviderxpath provider path list ormprovider orm provider ormproviders orm providers
MTHSIG13	getprojectname project modulename module
MTHSIG14	getpropertiesfromdatanucleusconfiguration properties data nucleus configuration
MTHSIG11	getpersistencepathoffocussedmodule persistence path focussed module
MTHSIG12	getplugins plugins xpathexpression path expression element configuration
MTHSIG19	getunwantedormproviders unwanted orm providers ormprovider orm provider ormprovider orm provider
VARSIG89	ormprovider orm provider ormprovider orm provider
VARSIG88	modulename module
VARSIG87	persistenceunit persistence unit
VARSIG86	password
VARSIG81	element pluginelement plugin element
MTHSIG10	getname
VARSIG80	element pluginelement plugin element
