VARSIG7	javasymbolname symbol menuitemid menu item
VARSIG6	javasymbolname symbol menucategoryname menu category
VARSIG9	globalmessagecode global message code
VARSIG8	menuitemlabel menu item label
VARSIG3	link
VARSIG2	globalmessagecode global message code
VARSIG5	logicalpath logical path logicalpath logical path
VARSIG4	idprefix prefix
COMMENTS	link menuoperations menu operations addition menu categories menu items category menu item identifier exists overwritten replaced addons determine category menu item identifiers clash addons write message codes caller manage properties allowing efficiency recommended category identifier naming convention menu category label intention represents identifier differentiate categories addon recommended menu item identifier naming convention menu item category label menucategoryname menu category menuitemid menu item globalmessagecode global message code link idprefix prefix logicalpath logical path addition menu categories menu items category menu item identifier exists overwritten replaced addons determine category menu item identifiers clash addons menucategoryname menu category identifier menu category required menuitemid menu item menu item identifier required menuitemlabel menu item label globalmessagecode global message code message code menu item required link menu item link required idprefix prefix prefix menu item optional menuoperations menu operations menu item prefix logicalpath logical path attempts locate unused finder menu items remove menucategoryname menu category identifier menu category required allowedfindermenuids allowed finder menu ids finder menu ids installed logicalpath logical path attempts locate menu item remove menucategoryname menu category identifier menu category required menuitemname menu item menu item identifier required idprefix prefix prefix menu item optional menuoperations menu operations menu item prefix logicalpath logical path
VARSIG19	logicalpath logical path logicalpath logical path
VARSIG1	javasymbolname symbol menuitemid menu item
VARSIG18	idprefix prefix
VARSIG0	javasymbolname symbol menucategoryname menu category
VARSIG17	javasymbolname symbol menuitemname menu item
VARSIG12	logicalpath logical path logicalpath logical path
VARSIG11	idprefix prefix
VARSIG10	link
MTHSIG0	addmenuitem add menu item javasymbolname symbol menucategoryname menu category javasymbolname symbol menuitemid menu item globalmessagecode global message code link idprefix prefix logicalpath logical path logicalpath logical path
VARSIG16	javasymbolname symbol menucategoryname menu category
MTHSIG1	addmenuitem add menu item javasymbolname symbol menucategoryname menu category javasymbolname symbol menuitemid menu item menuitemlabel menu item label globalmessagecode global message code link idprefix prefix logicalpath logical path logicalpath logical path
VARSIG15	logicalpath logical path logicalpath logical path
PACKAGE	springframework roo addon web mvc jsp menu
MTHSIG2	cleanupfindermenuitems clean finder menu items javasymbolname symbol menucategoryname menu category list allowedfindermenuids allowed finder menu ids logicalpath logical path logicalpath logical path
VARSIG14	list allowedfindermenuids allowed finder menu ids
MTHSIG3	cleanupmenuitem clean menu item javasymbolname symbol menucategoryname menu category javasymbolname symbol menuitemname menu item idprefix prefix logicalpath logical path logicalpath logical path
VARSIG13	javasymbolname symbol menucategoryname menu category
CLASSES	menuoperations menu operations
METHODS	addmenuitem add menu item addmenuitem add menu item cleanupfindermenuitems clean finder menu items cleanupmenuitem clean menu item
VARIABLES	menucategoryname menu category menuitemid menu item globalmessagecode global message code link idprefix prefix logicalpath logical path menucategoryname menu category menuitemid menu item menuitemlabel menu item label globalmessagecode global message code link idprefix prefix logicalpath logical path menucategoryname menu category allowedfindermenuids allowed finder menu ids logicalpath logical path menucategoryname menu category menuitemname menu item idprefix prefix logicalpath logical path menu item prefix finder menu item prefix
