VARSIG6	fieldinitializer field initializer
VARSIG3	list annotationmetadata annotation metadata annotations
VARSIG2	modifier
VARSIG5	javatype type fieldtype field type
VARSIG4	javasymbolname symbol fieldname field
COMMENTS	implementation link fieldmetadata field metadata mandate fieldmetadatabuilder field metadata builder
CLASSES	defaultfieldmetadata field metadata
VARSIG1	declaredbymetadataid declared metadata
VARSIG0	customdata custom data customdata custom data
METHODS	defaultfieldmetadata field metadata getfieldinitializer field initializer getfieldname field getfieldtype field type tostring
MTHSIG4	tostring
MTHSIG0	defaultfieldmetadata field metadata customdata custom data customdata custom data declaredbymetadataid declared metadata modifier list annotationmetadata annotation metadata annotations javasymbolname symbol fieldname field javatype type fieldtype field type fieldinitializer field initializer
MTHSIG1	getfieldinitializer field initializer
PACKAGE	springframework roo classpath details
MTHSIG2	getfieldname field
MTHSIG3	getfieldtype field type
VARIABLES	customdata custom data declaredbymetadataid declared metadata modifier annotations fieldname field fieldtype field type fieldinitializer field initializer fieldinitializer field initializer fieldname field fieldtype field type builder
