VARSIG7	overridestyle override style
VARSIG6	path
VARSIG3	slot
VARSIG2	message
VARSIG5	path
VARSIG4	developmentmode development mode
COMMENTS	specifies contract interactive shell interactive shell methods launched roo bootstrap mechanism envisaged implementations jline initially implementations slot link flash level caller wishes modify window title supported operating system shells effort basis runs command control caller command execute required command successful exception displays progress notification user notification ideally displayed consistent screen location shell implementation implementation multiple messages displayed concurrently implementation determine flash message replaces previous flash message callers allocate unique slot messages suggested caller slot updated conflicting flash message sequences slots passing empty message slot cleared implementation level slot concepts expected cases level message message display empty slot identification slot message empty exit requested exit code shell returns directory current running shell instance directory current shell instance presents console prompt user interact shell shell caller user finished session quit command shell level development mode exact meaning varies shell implementation developmentmode development mode development mode enabled path displayed shell prompt implementation ensure path included screen care merge product handle special formatting requirements ansi supported implementation path set empty formatted special ansi codes support api compatibility sts shell tailor implementation injected explicitly activated tailor tailor implementation settailor set tailor tailor tailor
CLASSES	shell
VARSIG1	level level
VARSIG0	
METHODS	executecommand execute command flash getexitshellrequest exit shell request gethome isdevelopmentmode development mode promptloop prompt loop setdevelopmentmode set development mode setpromptpath set prompt path setpromptpath set prompt path
MTHSIG4	isdevelopmentmode development mode
MTHSIG5	promptloop prompt loop
MTHSIG6	setdevelopmentmode set development mode developmentmode development mode
MTHSIG7	setpromptpath set prompt path path
MTHSIG0	executecommand execute command
MTHSIG1	flash level level message slot
PACKAGE	springframework roo shell
MTHSIG2	getexitshellrequest exit shell request
MTHSIG3	gethome
VARIABLES	level message slot developmentmode development mode path path overridestyle override style window title slot
MTHSIG8	setpromptpath set prompt path path overridestyle override style
