VARSIG3	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG2	javasymbolname symbol fieldname field
VARSIG5	assertfalse
VARSIG4	asserttrue
COMMENTS	jsr asserttrue annotation jsr assertfalse annotation
CLASSES	booleanfield field
VARSIG1	javatype type fieldtype field type
VARSIG0	physicaltypeidentifier physical type identifier
METHODS	booleanfield field decorateannotationslist decorate annotations list isasserttrue setasserttrue set isassertfalse setassertfalse set
MTHSIG4	isassertfalse
MTHSIG5	setassertfalse set assertfalse
MTHSIG0	booleanfield field physicaltypeidentifier physical type identifier javatype type fieldtype field type javasymbolname symbol fieldname field
MTHSIG1	decorateannotationslist decorate annotations list list annotationmetadatabuilder annotation metadata builder annotations
PACKAGE	springframework roo classpath operations jsr jsr
MTHSIG2	isasserttrue
MTHSIG3	setasserttrue set asserttrue
VARIABLES	physicaltypeidentifier physical type identifier fieldtype field type fieldname field annotations asserttrue assertfalse asserttrue assertfalse
