VARSIG7	javasymbolname symbol attributename attribute
VARSIG6	fieldmetadata field metadata field
VARSIG9	annotationmetadata annotation metadata fieldannotation field annotation
VARSIG8	fieldmetadata field metadata field
VARSIG3	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
VARSIG2	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG5	fieldmetadata field metadata field
VARSIG4	fieldmetadata field metadata field
COMMENTS	link fieldmetadata field metadata specific implementation link matcher matches based field annotated annotations
CLASSES	fieldmatcher field matcher
VARSIG1	list annotationmetadata annotation metadata annotations
VARSIG0	customdatakey custom data key fieldmetadata field metadata customdatakey custom data key
METHODS	fieldmatcher field matcher matches gettagvalue tag getattributemap attribute map getmatchingannotation matching annotation getcustomdatakey custom data key
MTHSIG4	getmatchingannotation matching annotation fieldmetadata field metadata field
MTHSIG5	getcustomdatakey custom data key
VARSIG10	annotationmetadata annotation metadata matchingannotation matching annotation
MTHSIG0	fieldmatcher field matcher customdatakey custom data key fieldmetadata field metadata customdatakey custom data key list annotationmetadata annotation metadata annotations
MTHSIG1	matches list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
PACKAGE	springframework roo classpath customdata taggers
MTHSIG2	gettagvalue tag fieldmetadata field metadata field
MTHSIG3	getattributemap attribute map fieldmetadata field metadata field
VARIABLES	customdatakey custom data key annotations memberholdingtypedetailslist member holding type details list memberholdingtypedetails member holding type details field field field attributename attribute field fieldannotation field annotation matchingannotation matching annotation annotations customdatakey custom data key fields map annotationmetadata annotation metadata
