MTHSIG4	getcustomdatakey custom data key
VARSIG34	annotationmetadata annotation metadata annotationmetadata annotation metadata
MTHSIG5	gettagvalue tag methodmetadata metadata key
VARSIG33	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
MTHSIG6	matches list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG32	singular
MTHSIG7	getinflectorplural inflector plural term locale locale
VARSIG31	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
MTHSIG0	methodmatcher matcher list fieldmatcher field matcher fieldtaggers field taggers customdatakey custom data key methodmetadata metadata customdatakey custom data key isaccessor accessor
MTHSIG1	methodmatcher matcher customdatakey custom data key methodmetadata metadata customdatakey custom data key javatype type catalystannotationtype catalyst annotation type javasymbolname symbol userdefinednameattribute user defined attribute defaultname
PACKAGE	springframework roo classpath customdata taggers
MTHSIG2	methodmatcher matcher customdatakey custom data key methodmetadata metadata customdatakey custom data key javatype type catalystannotationtype catalyst annotation type javasymbolname symbol userdefinednameattribute user defined attribute defaultname suffixplural suffix plural suffixsingular suffix singular
VARSIG36	fieldmatcher field matcher fieldtagger field tagger
MTHSIG3	methodmatcher matcher customdatakey custom data key methodmetadata metadata customdatakey custom data key javatype type catalystannotationtype catalyst annotation type javasymbolname symbol userdefinednameattribute user defined attribute defaultname suffixplural suffix plural suffixsingular suffix singular additionalsuffix additional suffix
VARSIG35	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
MTHSIG8	getuserdefinedmethod user defined list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG30	annotationmetadata annotation metadata annotationmetadata annotation metadata
MTHSIG9	getsuffix suffix list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list singular
CLASSES	methodmatcher matcher
VARSIG29	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
VARSIG28	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
METHODS	methodmatcher matcher methodmatcher matcher methodmatcher matcher methodmatcher matcher getcustomdatakey custom data key gettagvalue tag matches getinflectorplural inflector plural getuserdefinedmethod user defined getsuffix suffix getfieldsinterestedin fields interested getprefix prefix
VARSIG23	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
VARSIG22	fieldmetadata field metadata fieldmetadata field metadata
VARSIG21	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG20	methodmetadata metadata key
VARSIG27	runtimeexception runtime exception
VARSIG26	locale locale
VARSIG25	term
VARSIG24	methodmetadata metadata methodmetadata metadata
VARSIG7	customdatakey custom data key methodmetadata metadata customdatakey custom data key
VARSIG6	defaultname
VARSIG9	javasymbolname symbol userdefinednameattribute user defined attribute
VARSIG8	javatype type catalystannotationtype catalyst annotation type
VARSIG3	customdatakey custom data key methodmetadata metadata customdatakey custom data key
VARSIG2	isaccessor accessor
VARSIG5	javasymbolname symbol userdefinednameattribute user defined attribute
VARSIG4	javatype type catalystannotationtype catalyst annotation type
COMMENTS	link methodmetadata metadata specific implementation link matcher matches based field dynamically determined based link fieldmatcher field matcher presented type accessor mutator user roo annotation plural singular suffix referenced entity additional suffix returns plural term inflector attention rooplural roo plural account getplural plural term term pluralized locale locale pluralized term inflector failed roo don pluralize
VARSIG19	additionalsuffix additional suffix
VARSIG1	customdatakey custom data key methodmetadata metadata customdatakey custom data key
VARSIG18	suffixsingular suffix singular
VARSIG0	list fieldmatcher field matcher fieldtaggers field taggers
VARSIG17	suffixplural suffix plural
VARSIG12	suffixsingular suffix singular
VARSIG11	suffixplural suffix plural
VARSIG10	defaultname
VARSIG16	defaultname
VARSIG15	javasymbolname symbol userdefinednameattribute user defined attribute
VARSIG14	javatype type catalystannotationtype catalyst annotation type
VARSIG13	customdatakey custom data key methodmetadata metadata customdatakey custom data key
MTHSIG11	getprefix prefix
MTHSIG10	getfieldsinterestedin fields interested list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARIABLES	fieldtaggers field taggers customdatakey custom data key isaccessor accessor customdatakey custom data key catalystannotationtype catalyst annotation type userdefinednameattribute user defined attribute defaultname customdatakey custom data key catalystannotationtype catalyst annotation type userdefinednameattribute user defined attribute defaultname suffixplural suffix plural suffixsingular suffix singular customdatakey custom data key catalystannotationtype catalyst annotation type userdefinednameattribute user defined attribute defaultname suffixplural suffix plural suffixsingular suffix singular additionalsuffix additional suffix key memberholdingtypedetailslist member holding type details list fieldmetadata field metadata memberholdingtypedetails member holding type details methodmetadata metadata term locale memberholdingtypedetailslist member holding type details list memberholdingtypedetails member holding type details annotationmetadata annotation metadata memberholdingtypedetailslist member holding type details list singular memberholdingtypedetails member holding type details annotationmetadata annotation metadata memberholdingtypedetailslist member holding type details list fieldtagger field tagger fieldtaggers field taggers isaccessor accessor customdatakey custom data key catalystannotationtype catalyst annotation type userdefinednameattribute user defined attribute defaultname suffixplural suffix plural suffixsingular suffix singular additionalsuffix additional suffix fields methods fieldnames field names userdefinedmethodname user defined suffix annotationattributevalue annotation attribute plural annotationattributevalue annotation attribute fields
