MTHSIG0	iscommandavailable command
MTHSIG1	annotatetype annotate type javatype type javatype type rootname root
VARSIG2	javatype type type
PACKAGE	springframework roo addon json
MTHSIG2	annotateall annotate
COMMENTS	implementation addon json operations physical type mutable details
CLASSES	jsonoperationsimpl json operations impl
VARIABLES	javatype type rootname root type metadataservice metadata service physicaltypemetadataprovider physical type metadata provider typelocationservice type location service ptm ptd mutabletypedetails mutable type details roojson roo json annotationbuilder annotation builder
VARSIG1	rootname root
VARSIG0	javatype type javatype type
METHODS	iscommandavailable command annotatetype annotate type annotateall annotate
