MTHSIG26	encodefiletofile encode file file infile outfile
MTHSIG27	decodefiletofile decode file file infile outfile
MTHSIG24	decodefromfile decode file filename
MTHSIG25	encodefromfile encode file filename
MTHSIG22	encodetofile encode file datatoencode data encode filename
MTHSIG23	decodetofile decode file datatodecode data decode filename
MTHSIG4	encode encode source srcoffset src offset numsigbytes num sig bytes destination destoffset dest offset options
VARSIG78	ioexception exception
MTHSIG5	encode nio bytebuffer buffer raw nio bytebuffer buffer encoded
VARSIG77	filename
MTHSIG6	encode nio bytebuffer buffer raw nio charbuffer buffer encoded
VARSIG76	datatodecode data decode
MTHSIG7	encodeobject encode object serializable serializableobject serializable object
VARSIG75	exception
MTHSIG0	getalphabet alphabet options
MTHSIG1	getdecodabet decodabet options
MTHSIG2	base base
MTHSIG3	encode encode threebytes bytes numsigbytes num sig bytes options
VARSIG79	exception
MTHSIG20	decodetoobject decode object encodedobject encoded object
VARSIG70	exception
MTHSIG21	decodetoobject decode object encodedobject encoded object options classloader loader loader
MTHSIG8	encodeobject encode object serializable serializableobject serializable object options
VARSIG74	ioexception exception
MTHSIG9	encodebytes encode bytes source
VARSIG73	filename
VARSIG72	datatoencode data encode
VARSIG71	exception
METHODS	getalphabet alphabet getdecodabet decodabet base base encode encode encode encode encode encode encodeobject encode object encodeobject encode object encodebytes encode bytes encodebytes encode bytes encodebytes encode bytes encodebytes encode bytes encodebytestobytes encode bytes bytes encodebytestobytes encode bytes bytes decode decode decode decode decode decode decodetoobject decode object decodetoobject decode object encodetofile encode file decodetofile decode file decodefromfile decode file encodefromfile encode file encodefiletofile encode file file decodefiletofile decode file file
VARSIG67	objectstreamclass object stream streamclass stream
VARSIG66	classloader loader loader
VARSIG65	options
VARSIG64	encodedobject encoded object
VARSIG69	lang classnotfoundexception exception
VARSIG68	ioexception exception
VARSIG63	encodedobject encoded object
VARSIG62	exception
VARSIG61	exception
VARSIG60	exception
