VARSIG7	javapackage javapackage
VARSIG6	tablenamepattern table pattern
VARSIG9	table table
VARSIG8	
VARSIG3	set classorinterfacetypedetails type details managedentities managed entities
VARSIG2	classorinterfacetypedetails type details managedentity managed entity
VARSIG5	classorinterfacetypedetails type details classorinterfacetypedetails type details
VARSIG4	table table
COMMENTS	methods find types based table names type field names table column names locates type presented table managedentities managed entities set database managed entities search tablenamepattern table pattern table locate required type locates type presented table managedentities managed entities set database managed entities search table table locate required type locates table presented classorinterfacetypedetails type details search table names starts table annotation link rooentity roo entity rooentity roo entity table attribute checked returns classorinterfacetypedetails type details type search table locate table attribute table table foo table attribute rooentity roo entity rooentity roo entity table foo search continues returns javatype type table identity tablenamepattern table pattern table convert javapackage type javatype type returns field database table column table column representing table column returns field database table table table representing table column
CLASSES	dbretypeutils dbre type utils
VARSIG1	tablenamepattern table pattern
VARSIG0	set classorinterfacetypedetails type details managedentities managed entities
METHODS	findtypefortablename find type table findtypefortable find type table gettablename table suggesttypenamefornewtable type table suggestfieldname field suggestfieldname field getname
MTHSIG4	suggestfieldname field
MTHSIG5	suggestfieldname field table table
VARSIG11	isfield field
MTHSIG6	getname str isfield field
VARSIG10	str
MTHSIG0	findtypefortablename find type table set classorinterfacetypedetails type details managedentities managed entities tablenamepattern table pattern
MTHSIG1	findtypefortable find type table set classorinterfacetypedetails type details managedentities managed entities table table
PACKAGE	springframework roo addon dbre
MTHSIG2	gettablename table classorinterfacetypedetails type details classorinterfacetypedetails type details
MTHSIG3	suggesttypenamefornewtable type table tablenamepattern table pattern javapackage javapackage
VARIABLES	managedentities managed entities tablenamepattern table pattern managedentity managed entity managedentities managed entities table classorinterfacetypedetails type details tablenamepattern table pattern javapackage table str isfield field tablename table tablename table annotation nameattribute attribute tableattribute table attribute result result isdelimchar delim
