MTHSIG4	getfromjsonarraymethod json array
MTHSIG5	getrootname root
MTHSIG0	jsonannotationvalues json annotation values physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
MTHSIG1	gettojsonmethod json
PACKAGE	springframework roo addon json
MTHSIG2	getfromjsonmethod json
MTHSIG3	gettojsonarraymethod json array
COMMENTS	represents parsed link roojson roo json annotation
CLASSES	jsonannotationvalues json annotation values
VARIABLES	governorphysicaltypemetadata governor physical type metadata tojsonmethod json fromjsonmethod json fromjsonarraymethod json array tojsonarraymethod json array rootname root
VARSIG0	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
METHODS	jsonannotationvalues json annotation values gettojsonmethod json getfromjsonmethod json gettojsonarraymethod json array getfromjsonarraymethod json array getrootname root
