MTHSIG28	getsetvaluepickermethodname set picker
VARSIG7	accessormethodname accessor
MTHSIG29	iscollectionofproxy collection proxy
VARSIG6	
MTHSIG26	isembeddable embeddable
VARSIG9	javatype type javatype type
MTHSIG27	getsetvaluepickermethod set picker
VARSIG8	projectmetadata project metadata pmd
MTHSIG24	iscollection collection
VARSIG3	projectmetadata project metadata projectmetadata project metadata
MTHSIG25	isenum
VARSIG2	physicaltypemetadata physical type metadata ptmd
MTHSIG22	formobilelistview mobile list view renderername renderer
VARSIG5	physicaltypemetadata physical type metadata ptmd
MTHSIG23	isproxy proxy
VARSIG4	javatype type type
COMMENTS	todo ugly hack
VARSIG1	javatype type type
VARSIG0	projectmetadata project metadata projectmetadata project metadata
MTHSIG4	gettype type
MTHSIG5	getpropertytype property type
VARSIG11	annotationmetadata annotation metadata annotation
MTHSIG6	isboolean
VARSIG10	renderername renderer
MTHSIG7	isdate
MTHSIG0	gwtproxyproperty gwt proxy property projectmetadata project metadata projectmetadata project metadata javatype type type physicaltypemetadata physical type metadata ptmd
MTHSIG1	gwtproxyproperty gwt proxy property projectmetadata project metadata projectmetadata project metadata javatype type type physicaltypemetadata physical type metadata ptmd accessormethodname accessor
PACKAGE	springframework roo addon gwt
MTHSIG2	getname
MTHSIG3	getgetter getter
MTHSIG20	getreadablename readable
MTHSIG21	foreditview edit view
MTHSIG8	isprimitive primitive
MTHSIG9	isstring
MTHSIG17	getproxyrenderertype proxy renderer type
MTHSIG18	getproxyrenderertype proxy renderer type projectmetadata project metadata pmd javatype type javatype type
MTHSIG15	getformatter formatter
MTHSIG16	getrenderer renderer
MTHSIG13	geteditor editor
MTHSIG14	getcollectionrenderer collection renderer
MTHSIG11	getseteditor set editor
MTHSIG12	getseteditortype set editor type
CLASSES	gwtproxyproperty gwt proxy property
METHODS	gwtproxyproperty gwt proxy property gwtproxyproperty gwt proxy property getname getgetter getter gettype type getpropertytype property type isboolean isdate isprimitive primitive isstring getbinder binder getseteditor set editor getseteditortype set editor type geteditor editor getcollectionrenderer collection renderer getformatter formatter getrenderer renderer getproxyrenderertype proxy renderer type getproxyrenderertype proxy renderer type getcheckboxsubtype checkbox subtype getreadablename readable foreditview edit view formobilelistview mobile list view isproxy proxy iscollection collection isenum isembeddable embeddable getsetvaluepickermethod set picker getsetvaluepickermethodname set picker iscollectionofproxy collection proxy getvaluetype type
MTHSIG19	getcheckboxsubtype checkbox subtype
MTHSIG10	getbinder binder
VARIABLES	projectmetadata project metadata type ptmd projectmetadata project metadata type ptmd accessormethodname accessor pmd javatype type renderername renderer annotation projectmetadata project metadata getter type ptmd typename type arg initializer annotations
MTHSIG30	getvaluetype type
