MTHSIG28	getproviderxpath provider path ormprovider orm provider provider
MTHSIG29	getproviderxpath provider path list ormprovider orm provider ormproviders orm providers
MTHSIG26	getdbxpath path jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG27	getdbxpath path list jdbcdatabase jdbc database databases
MTHSIG24	cleanup element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG25	removeartifacts remove artifacts xpathexpression path expression element root element configuration
MTHSIG22	updateeclipseplugin update plugin addbuildcommand add build command
MTHSIG23	updateeclipseplugin update plugin addbuildcommand add build command document pom mutablefile mutable file mutablefile mutable file
MTHSIG4	getpersistencepath persistence path
VARSIG78	element configuration
MTHSIG5	getdatabasepropertiespath database properties path
VARSIG77	filter filter
MTHSIG6	configurejpa configure jpa ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database jndi applicationid application hostname host databasename database username user password persistenceunit persistence unit
VARSIG76	element filterelement filter element
MTHSIG7	updateapplicationcontext update application context ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database jndi persistenceunit persistence unit
VARSIG75	element filterelement filter element
MTHSIG0	isjpainstallationpossible jpa installation
MTHSIG1	isjpainstalled jpa installed
VARSIG120	exception
MTHSIG2	hasdatabaseproperties database properties
VARSIG121	element propertyelement property element
MTHSIG3	getdatabaseproperties database properties
VARSIG79	ormprovider orm provider ormprovider orm provider
MTHSIG20	updateresources update resources element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG70	element pluginrepositoryelement plugin repository element
MTHSIG21	updatebuildplugins update build plugins element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG8	updatepersistencexml update persistence xml ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host databasename database username user password persistenceunit persistence unit
VARSIG74	jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG9	getconnectionstring connection jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host databasename database
VARSIG73	ormprovider orm provider ormprovider orm provider
VARSIG72	element configuration
VARSIG71	element pluginrepositoryelement plugin repository element
METHODS	isjpainstallationpossible jpa installation isjpainstalled jpa installed hasdatabaseproperties database properties getdatabaseproperties database properties getpersistencepath persistence path getdatabasepropertiespath database properties path configurejpa configure jpa updateapplicationcontext update application context updatepersistencexml update persistence xml getconnectionstring connection updategaexml update gae xml updatedatabaseproperties update database properties updatevmforceconfigproperties update mforce config properties updatelog update log updatepomproperties update pom properties updatedependencies update dependencies getprojectname project updaterepositories update repositories updatepluginrepositories update plugin repositories updatefilters update filters updateresources update resources updatebuildplugins update build plugins updateeclipseplugin update plugin updateeclipseplugin update plugin cleanup removeartifacts remove artifacts getdbxpath path getdbxpath path getproviderxpath provider path getproviderxpath provider path createpropertyelement create property element createrefelement create element getpropertiesfromdatanucleusconfiguration properties data nucleus configuration
VARSIG67	element configuration
VARSIG66	element repositoryelement repository element
VARSIG65	element repositoryelement repository element
VARSIG64	element repositoryelement repository element
VARSIG69	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG110	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG68	ormprovider orm provider ormprovider orm provider
VARSIG111	list jdbcdatabase jdbc database databases
MTHSIG31	createrefelement create element document doc
VARSIG112	ormprovider orm provider provider
MTHSIG32	getpropertiesfromdatanucleusconfiguration properties data nucleus configuration
VARSIG113	list ormprovider orm provider ormproviders orm providers
VARSIG114	
MTHSIG30	createpropertyelement create property element document doc
VARSIG115	
VARSIG63	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG116	document doc
VARSIG62	ormprovider orm provider ormprovider orm provider
VARSIG117	
VARSIG61	element configuration
VARSIG118	
VARSIG60	element dependencyelement dependency element
VARSIG119	document doc
COMMENTS	jpa configuration operations parse configuration xml file remove unnecessary artifacts specific current database jpa provider checking existence configurations abort set attributes datanuclueus data nuclueus gae specific requirements add provider element add properties roo roo roo oracle connection url roo existing database configuration exit write database properties file hard coded jpa hibernate validator add dependencies pom xml add repositories pom xml add plugin repositories pom xml removed unwanted database dependencies removed unwanted orm providers changed write pom xml remove unwanted dependencies remove unwanted filters remove unwanted plugins required properties ignore elements
VARSIG19	password
VARSIG18	username user
VARSIG17	databasename database
VARSIG12	persistenceunit persistence unit
VARSIG11	jndi
VARSIG99	jdbcdatabase jdbc database database
VARSIG10	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG98	exception
VARSIG97	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG16	hostname host
VARSIG15	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG14	ormprovider orm provider ormprovider orm provider
VARSIG13	exception
VARSIG92	addbuildcommand add build command
VARSIG91	exception
VARSIG90	addbuildcommand add build command
