VARSIG7	descriptionofchang descript chang 
VARSIG6	newcont content 
VARSIG9	pathnam 
VARSIG8	writeimmedi write 
VARSIG3	newcont content 
VARSIG2	fileidentifi file identifi 
VARSIG5	fileidentifi file identifi 
VARSIG4	writeimmedi write 
COMMENTS	repres primari add on modifi underli disk storag link filemanag file manag instanc acquir link processmanag process manag link filemanag file manag implement guarante link undomanag undo manag link processmanag process manag link processmanag process manag undo reset requir implement elect defer write disk discard link commit link clear invok discard propos disk implement elect defer commit actual disk implement elect defer attempt creat directori disk request file identifi path exist canon file format parent directori creat automat creat parent directori remov undo behaviour except thrown path exist fileidentifi file identifi path creat exist requir represent directori creation fail attempt creat file disk request fileidentifi file identifi path exist canon file format implement guarante link createdirectori creat directori requir creat requir parent directori except thrown path exist fileidentifi file identifi path creat exist requir represent file creation fail simpl creat updat file skip modif file file content match propos content call text file mechan automat delet unwant file content byte delet exist file consid advanc delet file fail file exist separ delet implement guarante link createdirectori creat directori requir creat requir parent directori implement requir observ link commit link clear semant defin type level javadoc doc fileidentifi file identifi file creat updat requir newcont content replac content requir byte file delet writeimmedi write forc write file disk defer recommend simpl creat updat file skip modif file file content match propos content call text file mechan automat delet unwant file content byte delet exist file consid advanc delet file fail file exist separ delet implement guarante link createdirectori creat directori requir creat requir parent directori implement requir observ link commit link clear semant defin type level javadoc doc fileidentifi file identifi file creat updat requir newcont content replac content requir byte file delet descriptionofchang descript chang addit chang writeimmedi write forc write file disk defer recommend attempt delet file directori disk path canon file format path refer directori content directori recurs delet delet fail except thrown pathnam file delet blank valid pathnam link file file illegalargumentexcept illeg argument except file exist attempt delet file directori disk path canon file format path refer directori content directori recurs delet delet fail except thrown pathnam file delet blank valid pathnam link file file reasonfordelet reason delet reason file delet blank illegalargumentexcept illeg argument except file exist file identifi pass canon path exist fileidentifi file identifi file directori locat requir canon path format file directori exist deleg link filemonitorservic file monitor servic findmatchingantpath find match ant path antpath ant path ant path evalu canon file path format requir match identifi empti obtain input stream file identifi file directori exist time call read access file requir read write access method link filemanag file manag fileidentifi file identifi file read requir canon path format input stream obtain exist file read path canon file format fileidentifi file identifi file read exist requir represent file file exist deleg link filemonitorservic file monitor servic scanal scan link notifiablefilemonitorservic notifi file monitor servic scannotifi scan notifi number detect updat represent file disk file identifi refer file directori exist violat requir result except identifi canon file format refer document link mutablefil mutabl file restrict usag fileidentifi file identifi file updat file exist requir mutabl present 
VARSIG1	fileidentifi file identifi 
VARSIG0	fileidentifi file identifi 
MTHSIG4	createorupdatetextfileifrequir creat updat text file requir fileidentifi file identifi newcont content writeimmedi write 
VARSIG12	fileidentifi file identifi 
MTHSIG5	createorupdatetextfileifrequir creat updat text file requir fileidentifi file identifi newcont content descriptionofchang descript chang writeimmedi write 
VARSIG11	reasonfordelet reason delet 
MTHSIG6	delet pathnam 
VARSIG10	pathnam 
MTHSIG7	delet pathnam reasonfordelet reason delet 
MTHSIG0	clear 
VARSIG16	fileidentifi file identifi 
MTHSIG1	commit 
VARSIG15	fileidentifi file identifi 
PACKAGE	springframework roo process manag 
MTHSIG2	createdirectori creat directori fileidentifi file identifi 
VARSIG14	fileidentifi file identifi 
MTHSIG3	createfil creat file fileidentifi file identifi 
VARSIG13	antpath ant path 
MTHSIG8	exist fileidentifi file identifi 
MTHSIG9	findmatchingantpath find match ant path antpath ant path 
MTHSIG13	updatefil updat file fileidentifi file identifi 
MTHSIG11	readfil read file fileidentifi file identifi 
MTHSIG12	scan 
CLASSES	filemanag file manag 
METHODS	clear commit createdirectori creat directori createfil creat file createorupdatetextfileifrequir creat updat text file requir createorupdatetextfileifrequir creat updat text file requir delet delet exist findmatchingantpath find match ant path getinputstream input stream readfil read file scan updatefil updat file 
MTHSIG10	getinputstream input stream fileidentifi file identifi 
VARIABLES	fileidentifi file identifi fileidentifi file identifi fileidentifi file identifi newcont content writeimmedi write fileidentifi file identifi newcont content descriptionofchang descript chang writeimmedi write pathnam pathnam reasonfordelet reason delet fileidentifi file identifi antpath ant path fileidentifi file identifi fileidentifi file identifi fileidentifi file identifi 
