VARSIG7	host 
VARSIG6	port 
VARSIG9	javatyp type interfacetyp type 
VARSIG8	cloudfoundri cloud foundri 
VARSIG3	usernam 
VARSIG2	testautomat test automat 
VARSIG5	 
VARSIG4	password 
COMMENTS	oper spring data mongodb mongo repositori add creat domain type readi back spring data mongodb mongo repositori classtyp type requir idtyp type option default link biginteg big integ testautomat test automat mongo setup command project command repositori mongo command project command setup current project spring data mongodb mongo configur usernam option password option databas option default project port option default host option default cloudfoundri cloud foundri project deploy vmware mware cloudfoundri cloud foundri option default creat repositori spring data jpa mongodb mongo integr interfacetyp type requir classtyp type option 
CLASSES	mongooper mongo oper 
VARSIG1	javatyp type idtyp type 
VARSIG0	javatyp type classtyp type 
METHODS	createtyp creat type ismongoinstallationposs mongo instal isrepositoryinstallationposs repositori instal setup setuprepositori setup repositori 
MTHSIG4	setuprepositori setup repositori javatyp type interfacetyp type javatyp type classtyp type 
VARSIG10	javatyp type classtyp type 
MTHSIG0	createtyp creat type javatyp type classtyp type javatyp type idtyp type testautomat test automat 
MTHSIG1	ismongoinstallationposs mongo instal 
PACKAGE	springframework roo addon layer repositori mongo 
MTHSIG2	isrepositoryinstallationposs repositori instal 
MTHSIG3	setup usernam password port host cloudfoundri cloud foundri 
VARIABLES	classtyp type idtyp type testautomat test automat usernam password port host cloudfoundri cloud foundri interfacetyp type classtyp type 
