VARSIG3	findermetadatadetail finder metadata detail 
VARSIG2	list fieldmetadata field metadata findermethodparamfield finder field 
VARSIG4	object obj 
COMMENTS	aggreg metadata roo finder scaffold web add on ad field ensur equal object updat normal convent deleg compareto compar effici reason 
CLASSES	findermetadatadetail finder metadata detail 
VARSIG1	methodmetadata metadata findermethodmetadata finder metadata 
VARSIG0	findernam finder 
METHODS	findermetadatadetail finder metadata detail compareto compar equal getfindermethodmetadata finder metadata getfindermethodparamfield finder field getfindernam finder hashcod hash code 
MTHSIG4	getfindermethodparamfield finder field 
MTHSIG5	getfindernam finder 
MTHSIG6	hashcod hash code 
MTHSIG0	findermetadatadetail finder metadata detail findernam finder methodmetadata metadata findermethodmetadata finder metadata list fieldmetadata field metadata findermethodparamfield finder field 
MTHSIG1	compareto compar findermetadatadetail finder metadata detail 
PACKAGE	springframework roo addon web mvc control detail 
MTHSIG2	equal object obj 
MTHSIG3	getfindermethodmetadata finder metadata 
VARIABLES	findernam finder findermethodmetadata finder metadata findermethodparamfield finder field obj findermethodmetadata finder metadata findermethodparamfield finder field findernam finder cmp prime result 
