VARSIG7	javasymbolnam symbol attributenam attribut 
VARSIG6	importregistrationresolv registr resolv resolv 
VARSIG3	annotationattributevalu annot attribut val 
VARSIG2	javasymbolnam symbol attributenam attribut 
VARSIG5	annotationmetadata annot metadata annot 
VARSIG4	annotationmetadata annot metadata annot 
COMMENTS	util link annotationmetadata annot metadata convert annot base form annot covert requir base represent convert annot base form annot covert requir resolv automat addit type base represent add comma separ annot attribut comput support attribut 
CLASSES	annotationmetadatautil annot metadata util 
VARSIG1	importregistrationresolv registr resolv resolv 
VARSIG0	annotationattributevalu annot attribut 
METHODS	computeattributevalu comput attribut tosourceform sourc form tosourceform sourc form 
MTHSIG0	computeattributevalu comput attribut annotationattributevalu annot attribut importregistrationresolv registr resolv resolv 
MTHSIG1	tosourceform sourc form annotationmetadata annot metadata annot 
PACKAGE	springframework roo classpath detail 
MTHSIG2	tosourceform sourc form annotationmetadata annot metadata annot importregistrationresolv registr resolv resolv 
VARIABLES	resolv attributenam attribut val annot annot resolv attributenam attribut attributevalu attribut clazz dbl enumdetail detail clazz annotationmetadata annot metadata data annotationtyp annot type arrai data requirecomma requir comma attributevalu attribut 
