VARSIG7	document propos 
VARSIG6	document origin 
VARSIG9	document propos 
VARSIG8	document origin 
VARSIG3	originaldocumentchang origin document chang 
VARSIG2	element propos 
VARSIG5	entri entri 
VARSIG4	element element 
COMMENTS	util trip xml document check propos element compar origin find add replac element propos element consid insert propos element origin document element match insert place holder find find place insert element find propos element element parent origin document parent add child parent add child root element resort parent add child root element resort element origin document match actif hash code exist hash code match user element user request hash code regener check element equal content replac origin propos element replac user set indic roo manag element hash code don match mark element user manag mark element user manag hash code don match walk document tree recurs creat base encod sha sha hash kei xml element kei base element attribut name valu child element attribut name conclud hash kei element element creat base encod hash kei uniqu kei compar namespac declar origin propos document namespac origin miss compar propos add origin origin document read file system propos document determin jspviewmanag jsp view manag document adjust compar origin document propos document adjust origin document adjust element attribut propos order attribut element origin document result adjust origin document read file system propos document determin jspviewmanag jsp view manag document adjust check origin element compar propos find remov element propos element consid remov origin element propos document element match walk document tree recurs creat sha hash data arrai data hash hash input data constructor prevent instanti 
VARSIG1	element origin 
VARSIG0	nosuchalgorithmexcept algorithm except 
MTHSIG4	equalel equal element element element 
VARSIG12	element origin 
MTHSIG5	removeel remov element element origin element propos originaldocumentchang origin document chang 
VARSIG11	element 
MTHSIG6	sha sha data 
VARSIG10	element 
MTHSIG7	xmlroundtriputil xml trip util 
MTHSIG0	addorupdateel add updat element element origin element propos originaldocumentchang origin document chang 
MTHSIG1	calculateuniquekeyfor calcul uniqu kei element element 
VARSIG15	data 
PACKAGE	springframework roo support util 
MTHSIG2	checknamespac check namespac document origin document propos 
VARSIG14	originaldocumentchang origin document chang 
MTHSIG3	comparedocu compar document document origin document propos 
VARSIG13	element propos 
CLASSES	xmlroundtriputil xml trip util 
METHODS	addorupdateel add updat element calculateuniquekeyfor calcul uniqu kei checknamespac check namespac comparedocu compar document equalel equal element removeel remov element sha sha xmlroundtriputil xml trip util 
VARIABLES	origin propos originaldocumentchang origin document chang element entri origin propos origin propos origin propos originaldocumentchang origin document chang data digest proposedchildren propos children node proposedel propos element proposedid propos originalel origin element placehold place holder originalpar origin parent originalelementhashcod origin element hash code attribut attrkvstor attr store attr originaldocumentchang origin document chang nsnode node originaldocumentadjust origin document adjust attribut customattributecount custom attribut counter node originalchildren origin children node originalel origin element originalid origin proposedel propos element 
