VARSIG3	keyid kei 
VARSIG2	pgpsignatur pgp signatur signatur 
VARSIG5	object obj 
VARSIG4	pgpkeyid pgp kei 
COMMENTS	repres digit hexadecim kei start uppercas uppercas shouldn 
CLASSES	pgpkeyid pgp kei 
VARSIG1	pgppublickei pgp kei keyid kei 
VARSIG0	keyid kei 
METHODS	pgpkeyid pgp kei pgpkeyid pgp kei pgpkeyid pgp kei pgpkeyid pgp kei compareto compar equal getid hashcod hash code tostr 
MTHSIG4	compareto compar pgpkeyid pgp kei 
MTHSIG5	equal object obj 
MTHSIG6	getid 
MTHSIG7	hashcod hash code 
MTHSIG0	pgpkeyid pgp kei keyid kei 
MTHSIG1	pgpkeyid pgp kei pgppublickei pgp kei keyid kei 
PACKAGE	springframework roo felix pgp 
MTHSIG2	pgpkeyid pgp kei pgpsignatur pgp signatur signatur 
MTHSIG3	pgpkeyid pgp kei keyid kei 
VARIABLES	keyid kei keyid kei signatur keyid kei obj mask 
MTHSIG8	tostr 
