MTHSIG0	assertmethodexist exist targetmethod target iter candidatemethod candid method 
VARSIG3	jpaentitymethod jpa entiti 
MTHSIG1	testallroojpaentitymethodsexistinrooent test roo jpa entiti method exist roo entiti 
VARSIG2	candidatemethod candid 
PACKAGE	springframework roo addon jpa activerecord 
COMMENTS	unit test link roojpaactiverecord roo jpa activ record annot assert type target exist candid method strict call link equal object targetmethod target candidatemethod candid method match annot can share code inherit manual redeclar roojpaent roo jpa entiti method rooentiti roo entiti annot test ensur haven miss 
CLASSES	roojpaactiverecordtest roo jpa activ record test 
VARIABLES	targetmethod target candidatemethod candid method candidatemethod candid jpaentitymethod jpa entiti rooentitymethod roo entiti method 
VARSIG1	iter candidatemethod candid method 
VARSIG0	targetmethod target 
METHODS	assertmethodexist exist testallroojpaentitymethodsexistinrooent test roo jpa entiti method exist roo entiti 
