MTHSIG17	testsupportsjavatyp test support type 
MTHSIG15	testgetallpossiblevaluesinprojectwhennomodulehasfocu test valu project modul focu 
MTHSIG16	testgetallpossiblevaluesinprojectwhennomoduleprefixisus test valu project modul prefix 
MTHSIG13	testconvertwhitespac test convert whitespac 
MTHSIG14	testgetallpossiblevaluesinprojectwhenmoduleprefixisus test valu project modul prefix 
MTHSIG11	testconverttoprimitivelong test convert primit 
MTHSIG12	testconverttoprimitiveshort test convert primit 
COMMENTS	unit test link javatypeconvert type convert fixtur set invok check set invok check set invok check set invok check prefix toplevelpackag top level formattedprefix format prefix toplevelpackag top level head set invok check set invok check 
CLASSES	javatypeconvertertest type convert test 
METHODS	setup set testconvertasteriskwhenlastusedtypeisknown test convert asterisk type testconvertasteriskwhenlastusedtypeisunknown test convert asterisk type unknown testconvertemptystr test convert empti testconvertfullyqualifiedvaluewithonemoduleprefix test convert fulli qualifi modul prefix testconvertnullstr test convert testconverttoplevelpackagewithonemoduleprefix test convert top level modul prefix testconverttoprimitivebyt test convert primit testconverttoprimitivedoubl test convert primit testconverttoprimitivefloat test convert primit testconverttoprimitiveint test convert primit testconverttoprimitivelong test convert primit testconverttoprimitiveshort test convert primit testconvertwhitespac test convert whitespac testgetallpossiblevaluesinprojectwhenmoduleprefixisus test valu project modul prefix testgetallpossiblevaluesinprojectwhennomodulehasfocu test valu project modul focu testgetallpossiblevaluesinprojectwhennomoduleprefixisus test valu project modul prefix testsupportsjavatyp test support type 
MTHSIG4	testconvertfullyqualifiedvaluewithonemoduleprefix test convert fulli qualifi modul prefix 
MTHSIG5	testconvertnullstr test convert 
MTHSIG6	testconverttoplevelpackagewithonemoduleprefix test convert top level modul prefix 
MTHSIG7	testconverttoprimitivebyt test convert primit 
MTHSIG0	setup set 
MTHSIG1	testconvertasteriskwhenlastusedtypeisknown test convert asterisk type 
PACKAGE	springframework roo classpath convert 
MTHSIG2	testconvertasteriskwhenlastusedtypeisunknown test convert asterisk type unknown 
MTHSIG3	testconvertemptystr test convert empti 
MTHSIG10	testconverttoprimitiveint test convert primit 
VARIABLES	convert mockfilemanag mock file manag mocklastus mock mockprojectoper mock project oper mocktypelocationservic mock type locat servic mocklastusedtyp mock type modulenam modul mockwebpom mock web pom toplevelpackag top level result modulenam modul mockwebpom mock web pom toplevelpackag top level result mockcomplet mock complet othermodulenam modul mockothermodul mock modul toplevelpackag top level focusedmodulenam focus modul modulepath modul path type type type type formattedprefix format prefix prefix mockcomplet mock complet mockcomplet mock complet mockfocusedmodul mock focus modul toplevelpackag top level focusedmodulenam focus modul modulepath modul path othermodulenam modul type type type type 
MTHSIG8	testconverttoprimitivedoubl test convert primit 
MTHSIG9	testconverttoprimitivefloat test convert primit 
