VARSIG3	object 
VARSIG2	object kei 
VARSIG4	customdatabuild custom data builder customdatabuild custom data builder 
COMMENTS	assist creation link builder type eventu implement link customdataaccessor custom data accessor constructor empti builder constructor builder initialis custom data exist can append custom data builder customdatabuild custom data builder custom data append set custom data builder instanc builder valu set builder builder link customdatabuild custom data builder copi customdatabuild custom data builder builder set requir 
CLASSES	abstractcustomdataaccessorbuild custom data accessor builder 
VARSIG1	customdata custom data customdata custom data 
VARSIG0	customdataaccessor custom data accessor exist 
METHODS	abstractcustomdataaccessorbuild custom data accessor builder abstractcustomdataaccessorbuild custom data accessor builder append getcustomdata custom data putcustomdata custom data setcustomdata set custom data 
MTHSIG4	putcustomdata custom data object kei object 
MTHSIG5	setcustomdata set custom data customdatabuild custom data builder customdatabuild custom data builder 
MTHSIG0	abstractcustomdataaccessorbuild custom data accessor builder 
MTHSIG1	abstractcustomdataaccessorbuild custom data accessor builder customdataaccessor custom data accessor exist 
PACKAGE	springframework roo model 
MTHSIG2	append customdata custom data customdata custom data 
MTHSIG3	getcustomdata custom data 
VARIABLES	exist customdata custom data kei customdatabuild custom data builder customdatabuild custom data builder customdatabuild custom data builder 
