MTHSIG0	getannotationtyp annot type 
MTHSIG1	getattribut attribut javasymbolnam symbol attributenam attribut 
PACKAGE	springframework roo classpath detail annot 
MTHSIG2	getattribut attribut attributenam attribut 
MTHSIG3	getattributenam attribut name 
COMMENTS	metadata annot appear member annot type acquir attribut request attributenam attribut request attribut return attribut attributenam attribut request attribut attribut name prefer order declar annot empti 
CLASSES	annotationmetadata annot metadata 
VARIABLES	attributenam attribut attributenam attribut 
VARSIG1	attributenam attribut 
VARSIG0	javasymbolnam symbol attributenam attribut 
METHODS	getannotationtyp annot type getattribut attribut getattribut attribut getattributenam attribut name 
