VARSIG6	simpletypenam simpl type 
VARSIG3	javatyp type javatyp type 
VARSIG2	javatyp type javatyp type 
VARSIG5	javalangsimpletypenam lang simpl type 
VARSIG4	javatyp type javatyp type 
COMMENTS	constant jdk link javatyp type prefer creat instanc type sql util math text lang javax annot bean secur method determin present type lang javatyp type type requir type declar lang determin present simpl type lang simpletypenam simpl type simpl type requir type declar lang constructor prevent instanti 
CLASSES	jdkjavatyp jdk type 
VARSIG1	javatyp type javatyp type 
VARSIG0	javatyp type javatyp type 
METHODS	isdatefield field isdecimaltyp decim type isdoubleorfloat isintegertyp integ type ispartofjavalang lang ispartofjavalang lang jdkjavatyp jdk type 
MTHSIG4	ispartofjavalang lang javatyp type javatyp type 
MTHSIG5	ispartofjavalang lang simpletypenam simpl type 
MTHSIG6	jdkjavatyp jdk type 
MTHSIG0	isdatefield field javatyp type javatyp type 
MTHSIG1	isdecimaltyp decim type javatyp type javatyp type 
PACKAGE	springframework roo model 
MTHSIG2	isdoubleorfloat javatyp type javatyp type 
MTHSIG3	isintegertyp integ type javatyp type javatyp type 
VARIABLES	javatyp type javatyp type javatyp type javatyp type javatyp type javalangsimpletypenam lang simpl type simpletypenam simpl type arrai arrai list arrai big decim big integ blob arrai input stream calendar clob collect format except gregorian calendar hash set iter javalangsimpletypenam lang simpl type name javalangtyp lang type list map post construct properti editor support random secur random serializ set simpl format struct suppress warn unsupport encod except 
