VARSIG7	viewnam view 
VARSIG6	path 
VARSIG9	categori 
VARSIG8	titl 
VARSIG3	modulenam modul 
VARSIG2	logicalpath logic path webapppath webapp path 
VARSIG5	logicalpath logic path webapppath webapp path 
VARSIG4	languag 
COMMENTS	oper creat view layer resourc creat spring mvc control request map assign commenc instal common view artifact need mvc scaffold focus modul instal common view artifact need mvc scaffold modul modulenam modul modul instal artifact empti root modul instal addit languag web mvc app languag languag webapppath webapp path instal spring mvc view path view creat requir foo viewnam view map view adopt requir titl titl view requir categori menu categori requir document jspx document view webapppath webapp path creat spring mvc view path view creat requir foo titl titl view requir categori menu categori requir viewnam view map view adopt requir webapppath webapp path replac exist tag librari latest version set backup flag backup applic backup wether applic back prior replac tagx librari webapppath webapp path 
VARSIG1	preferredmap prefer map 
VARSIG18	logicalpath logic path webapppath webapp path 
VARSIG0	javatyp type control 
VARSIG17	backup 
MTHSIG4	installview instal view path viewnam view titl categori document document logicalpath logic path webapppath webapp path 
VARSIG12	path 
MTHSIG5	installview instal view path viewnam view titl categori logicalpath logic path webapppath webapp path 
VARSIG11	logicalpath logic path webapppath webapp path 
MTHSIG6	iscontrolleravail control 
VARSIG10	document document 
MTHSIG7	isinstalllanguagecommandavail instal languag command 
MTHSIG0	createmanualcontrol creat manual control javatyp type control preferredmap prefer map logicalpath logic path webapppath webapp path 
VARSIG16	logicalpath logic path webapppath webapp path 
MTHSIG1	installcommonviewartefact instal common view artefact 
VARSIG15	categori 
PACKAGE	springframework roo addon web mvc jsp 
MTHSIG2	installcommonviewartefact instal common view artefact modulenam modul 
VARSIG14	titl 
MTHSIG3	instal instal languag logicalpath logic path webapppath webapp path 
VARSIG13	viewnam view 
MTHSIG8	ismvcinstallationposs mvc instal 
MTHSIG9	updatetag updat tag backup logicalpath logic path webapppath webapp path 
CLASSES	jspoper jsp oper 
METHODS	createmanualcontrol creat manual control installcommonviewartefact instal common view artefact installcommonviewartefact instal common view artefact instal instal installview instal view installview instal view iscontrolleravail control isinstalllanguagecommandavail instal languag command ismvcinstallationposs mvc instal updatetag updat tag 
VARIABLES	control preferredmap prefer map webapppath webapp path modulenam modul languag webapppath webapp path path viewnam view titl categori document webapppath webapp path path viewnam view titl categori webapppath webapp path backup webapppath webapp path 
