MTHSIG0	determinetop determin topic 
MTHSIG1	getcurrenttop current topic 
VARSIG2	missingresourceexcept miss resourc except except 
PACKAGE	springframework roo classpath oper 
MTHSIG2	getitdcount count itduniquenessfilenamesuffix uniqu filenam suffix 
MTHSIG3	hint topic 
COMMENTS	base implement link hintoper hint oper implement reli predefin resourc bundl hint replac extens implement parti add on provid hint roo detail result addal add bundl keyset kei set resourcebundl resourc bundl keyset kei set jdk 
CLASSES	hintoperationsimpl hint oper impl 
VARIABLES	itduniquenessfilenamesuffix uniqu filenam suffix topic except ant match directori pattern bundl filemanag file manag pathresolv path resolv projectoper project oper javabeancount bean count result topic messag 
VARSIG1	topic 
VARSIG0	itduniquenessfilenamesuffix uniqu filenam suffix 
METHODS	determinetop determin topic getcurrenttop current topic getitdcount count hint 
