VARSIG7	modulenam modul 
VARSIG6	gav parentpom parent pom 
VARSIG8	projectoper project oper projectoper project oper 
VARSIG3	javapackag toplevelpackag top level 
VARSIG2	projectoper project oper projectoper project oper 
VARSIG5	javavers version 
VARSIG4	nullableprojectnam nullabl project 
COMMENTS	link packagingprovid packag provid creat jar file javax annot librari includ jaxb api hibern constructor invok osgi contain 
CLASSES	jarpackag jar packag 
VARSIG1	modul 
VARSIG0	javapackag toplevelpackag top level 
METHODS	jarpackag jar packag createotherartifact creat artifact createpom creat pom getpath path isdefault 
MTHSIG4	isdefault 
MTHSIG0	jarpackag jar packag 
MTHSIG1	createotherartifact creat artifact javapackag toplevelpackag top level modul projectoper project oper projectoper project oper 
PACKAGE	springframework roo project packag 
MTHSIG2	createpom creat pom javapackag toplevelpackag top level nullableprojectnam nullabl project javavers version gav parentpom parent pom modulenam modul projectoper project oper projectoper project oper 
MTHSIG3	getpath path 
VARIABLES	toplevelpackag top level modul projectoper project oper toplevelpackag top level nullableprojectnam nullabl project javavers version parentpom parent pom modulenam modul projectoper project oper jaxb api jsr jsr api depend fullyqualifiedmodulenam fulli qualifi modul pompath pom path 
