MTHSIG11	istransact transact 
COMMENTS	repres pars link roointegrationtest roo integr test annot 
CLASSES	integrationtestannotationvalu integr test annot valu 
VARSIG0	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
METHODS	integrationtestannotationvalu integr test annot valu getent entiti getfindallmaximum find maximum iscount count isfind find isfindal find isfindentri find entri isflush flush ismerg merg ispersist persist isremov remov istransact transact 
MTHSIG4	isfind find 
MTHSIG5	isfindal find 
MTHSIG6	isfindentri find entri 
MTHSIG7	isflush flush 
MTHSIG0	integrationtestannotationvalu integr test annot valu physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
MTHSIG1	getent entiti 
PACKAGE	springframework roo addon test 
MTHSIG2	getfindallmaximum find maximum 
MTHSIG3	iscount count 
MTHSIG10	isremov remov 
VARIABLES	governorphysicaltypemetadata governor physic type metadata count entiti find findal find findallmaximum find maximum findentri find entri flush merg persist remov transact 
MTHSIG8	ismerg merg 
MTHSIG9	ispersist persist 
