VARSIG3	clioption cli option kei mandatori path jsf manag bean creat javatyp type managedbean manag bean 
VARSIG2	clioption cli option kei mandatori optioncontext option context updat jsf manag bean javapackag destinationpackag destin 
VARSIG5	clioption cli option kei includeonmenu includ menu mandatori specifieddefaultvalu unspecifieddefaultvalu unspecifi includ entiti gener jsf menu includeonmenu includ menu 
VARSIG4	clioption cli option kei entiti mandatori unspecifieddefaultvalu unspecifi optioncontext option context updat project entiti jsf manag bean creat modifi requir javatyp type entiti 
COMMENTS	command jsf add roo shell 
CLASSES	jsfcommand jsf command 
VARSIG1	clioption cli option kei mandatori jsf implement jsfimplement jsf implement jsfimplement jsf implement 
VARSIG0	clioption cli option kei implement mandatori jsf implement jsfimplement jsf implement jsfimplement jsf implement 
METHODS	issetupavail setup isjsfavail jsf webjsfsetup web jsf setup webjsfimplement web jsf implement webjsfal web jsf webjsfscaffold web jsf scaffold 
MTHSIG4	webjsfal web jsf javapackag destinationpackag destin 
MTHSIG5	webjsfscaffold web jsf scaffold javatyp type managedbean manag bean javatyp type entiti includeonmenu includ menu 
MTHSIG0	issetupavail setup 
MTHSIG1	isjsfavail jsf 
PACKAGE	springframework roo addon jsf 
MTHSIG2	webjsfsetup web jsf setup jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG3	webjsfimplement web jsf implement jsfimplement jsf implement jsfimplement jsf implement 
VARIABLES	jsfimplement jsf implement jsfimplement jsf implement destinationpackag destin managedbean manag bean entiti includeonmenu includ menu jsfoper jsf oper 
