MTHSIG28	getsetvaluepickermethod set picker 
MTHSIG29	getsetvaluepickermethodnam set picker 
MTHSIG26	isenum 
MTHSIG27	isembedd embedd 
MTHSIG24	isproxi proxi 
MTHSIG25	iscollect collect 
MTHSIG22	foreditview edit view 
MTHSIG23	formobilelistview mobil list view renderernam render 
MTHSIG4	gettyp type 
MTHSIG5	getpropertytyp properti type 
MTHSIG6	isboolean 
MTHSIG7	isdat 
MTHSIG0	gwtproxyproperti gwt proxi properti projectmetadata project metadata projectmetadata project metadata physicaltypemetadata physic type metadata ptmd javatyp type type 
MTHSIG1	gwtproxyproperti gwt proxi properti projectmetadata project metadata projectmetadata project metadata physicaltypemetadata physic type metadata ptmd javatyp type type list annotationmetadata annot metadata annot getter 
PACKAGE	springframework roo addon gwt 
MTHSIG2	getnam 
MTHSIG3	getgett getter 
MTHSIG20	getcheckboxsubtyp checkbox subtyp 
MTHSIG21	getreadablenam readabl 
MTHSIG8	isprimit primit 
MTHSIG9	isstr 
CLASSES	gwtproxyproperti gwt proxi properti 
METHODS	gwtproxyproperti gwt proxi properti gwtproxyproperti gwt proxi properti getnam getgett getter gettyp type getpropertytyp properti type isboolean isdat isprimit primit isstr getbind binder getseteditor set editor getseteditortyp set editor type geteditor editor getcollectionrender collect render getformatt formatt getdatetimeformat time format getrender render getproxyrenderertyp proxi render type getproxyrenderertyp proxi render type getcheckboxsubtyp checkbox subtyp getreadablenam readabl foreditview edit view formobilelistview mobil list view isproxi proxi iscollect collect isenum isembedd embedd getsetvaluepickermethod set picker getsetvaluepickermethodnam set picker iscollectionofproxi collect proxi getvaluetyp type 
MTHSIG31	getvaluetyp type 
MTHSIG30	iscollectionofproxi collect proxi 
VARSIG7	list annotationmetadata annot metadata annot 
VARSIG6	 
VARSIG9	projectmetadata project metadata projectmetadata project metadata 
VARSIG8	getter 
VARSIG3	projectmetadata project metadata projectmetadata project metadata 
VARSIG2	javatyp type type 
VARSIG5	javatyp type type 
VARSIG4	physicaltypemetadata physic type metadata ptmd 
COMMENTS	todo ugli hack 
VARSIG1	physicaltypemetadata physic type metadata ptmd 
VARSIG0	projectmetadata project metadata projectmetadata project metadata 
VARSIG12	annotationmetadata annot metadata annot 
VARSIG11	renderernam render 
VARSIG10	javatyp type javatyp type 
MTHSIG17	getrender render 
MTHSIG18	getproxyrenderertyp proxi render type 
MTHSIG15	getformatt formatt 
MTHSIG16	getdatetimeformat time format 
MTHSIG13	geteditor editor 
MTHSIG14	getcollectionrender collect render 
MTHSIG11	getseteditor set editor 
MTHSIG12	getseteditortyp set editor type 
MTHSIG19	getproxyrenderertyp proxi render type projectmetadata project metadata projectmetadata project metadata javatyp type javatyp type 
MTHSIG10	getbind binder 
VARIABLES	projectmetadata project metadata ptmd type projectmetadata project metadata ptmd type annot getter projectmetadata project metadata javatyp type renderernam render annot projectmetadata project metadata ptmd type annot getter typenam type arg formatt annot attr style format style annot attr initi annot 
