VARSIG3	fieldmetadata field metadata fieldmetadata field metadata 
VARSIG2	removeannot remov annot 
VARSIG4	annotationmetadata annot metadata fieldannot field annot 
COMMENTS	conveni hold annot detail introduc field aspect constructor link fieldmetadata field metadata exist field field annot list annot introduc aspect annot link fieldmetadata field metadata fieldmetadata field metadata fieldmetadata field metadata exist field fieldannot field annot annot field removeannot remov annot annot remov aspectj syntax overload constructor typic ad annot field remov fieldmetadata field metadata fieldmetadata field metadata exist field fieldannot field annot annot field 
CLASSES	declaredfieldannotationdetail declar field annot detail 
VARSIG1	annotationmetadata annot metadata fieldannot field annot 
VARSIG0	fieldmetadata field metadata fieldmetadata field metadata 
METHODS	declaredfieldannotationdetail declar field annot detail declaredfieldannotationdetail declar field annot detail getfieldmetadata field metadata getfieldannot field annot isremoveannot remov annot 
MTHSIG4	isremoveannot remov annot 
MTHSIG0	declaredfieldannotationdetail declar field annot detail fieldmetadata field metadata fieldmetadata field metadata annotationmetadata annot metadata fieldannot field annot removeannot remov annot 
MTHSIG1	declaredfieldannotationdetail declar field annot detail fieldmetadata field metadata fieldmetadata field metadata annotationmetadata annot metadata fieldannot field annot 
PACKAGE	springframework roo classpath detail 
MTHSIG2	getfieldmetadata field metadata 
MTHSIG3	getfieldannot field annot 
VARIABLES	fieldmetadata field metadata fieldannot field annot removeannot remov annot fieldmetadata field metadata fieldannot field annot fieldmetadata field metadata fieldannot field annot removeannot remov annot 
