VARSIG7	requiredtyp requir type 
VARSIG6	list complet 
VARSIG9	optioncontext option context 
VARSIG8	existingdata exist data 
VARSIG3	runtimeexcept runtim except 
VARSIG2	optioncontext option context 
VARSIG5	optioncontext option context 
VARSIG4	requiredtyp requir type 
COMMENTS	convers link javapackag full support denot user user top level drop lead includ directori start purpos svn roo convert path user type 
CLASSES	javapackageconvert convert 
VARSIG1	requiredtyp requir type 
VARSIG0	 
METHODS	convertfromtext convert text support getallpossiblevalu valu 
VARSIG11	filedetail file detail fileidentifi file identifi 
VARSIG10	methodtarget target target 
MTHSIG0	convertfromtext convert text requiredtyp requir type optioncontext option context 
MTHSIG1	support requiredtyp requir type optioncontext option context 
PACKAGE	springframework roo classpath convert 
MTHSIG2	getallpossiblevalu valu list complet requiredtyp requir type existingdata exist data optioncontext option context methodtarget target target 
VARIABLES	requiredtyp requir type optioncontext option context requiredtyp requir type optioncontext option context complet requiredtyp requir type existingdata exist data optioncontext option context target fileidentifi file identifi lastus metadataservic metadata servic filemanag file manag newvalu toplevelpath top level path projectmetadata project metadata result projectmetadata project metadata toplevelpath top level path newvalu pathresolv path resolv antpath ant path entri candid includ 
