MTHSIG28	getresourc resourc xpathexpress path express element configur 
MTHSIG29	getdbxpath path jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG26	getfilt filter xpathexpress path express element configur 
MTHSIG27	getplugin plugin xpathexpress path express element configur 
MTHSIG24	cleanup element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG25	getdepend depend xpathexpress path express element configur 
MTHSIG22	updateeclipseplugin updat plugin addtoplugin add plugin 
MTHSIG23	updatedatanucleusplugin updat data nucleu plugin addtoplugin add plugin 
MTHSIG4	getpersistencepath persist path 
VARSIG78	filter filter 
MTHSIG5	getdatabasepropertiespath databas properti path 
VARSIG77	element filterel filter element 
MTHSIG6	configurejpa configur jpa ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas jndi applicationid applic hostnam host databasenam databas usernam user password transactionmanag transact manag persistenceunit persist unit 
VARSIG76	element filterel filter element 
MTHSIG7	updateapplicationcontext updat applic context ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas jndi transactionmanag transact manag persistenceunit persist unit 
VARSIG75	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG0	isjpainstallationposs jpa instal 
MTHSIG1	isjpainstal jpa instal 
VARSIG120	document document 
MTHSIG2	hasdatabaseproperti databas properti 
VARSIG121	element propertyel properti element 
MTHSIG3	getdatabaseproperti databas properti 
VARSIG79	element configur 
MTHSIG20	updateresourc updat resourc element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
VARSIG70	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG21	updatebuildplugin updat build plugin element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG8	updatepersistencexml updat persist xml ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas hostnam host databasenam databas usernam user password persistenceunit persist unit 
VARSIG74	ormprovid orm provid ormprovid orm provid 
MTHSIG9	getconnectionstr connect jdbcdatabas jdbc databas jdbcdatabas jdbc databas hostnam host databasenam databas 
VARSIG73	element configur 
VARSIG72	element pluginrepositoryel plugin repositori element 
VARSIG71	element pluginrepositoryel plugin repositori element 
MTHSIG35	getpropertiesfromdatanucleusconfigur properti data nucleu configur 
MTHSIG33	createpropertyel creat properti element document document 
MTHSIG34	createrefel creat element document document 
