VARSIG7	oper 
VARSIG6	classorinterfacetypedetail type detail coitd 
VARSIG3	javatyp type entiti 
VARSIG2	javatyp type control 
VARSIG5	path 
VARSIG4	set disallowedoper disallow oper 
COMMENTS	control configur oper check entiti metadata web scaffold metadata listen control entiti listen control add check control map path exist type exist creat annot roowebscaffold roo web scaffold path test formbackingobject form back object myobject object creat annot requestmap request map myobject creat annot control 
CLASSES	controlleroperationsimpl control oper impl 
VARSIG1	classorinterfacetypedetail type detail cid 
VARSIG0	javapackag javapackag 
METHODS	isnewcontrolleravail control isscaffoldavail scaffold setup generateal gener createautomaticcontrol creat automat control 
MTHSIG4	createautomaticcontrol creat automat control javatyp type control javatyp type entiti set disallowedoper disallow oper path 
MTHSIG0	isnewcontrolleravail control 
MTHSIG1	isscaffoldavail scaffold 
PACKAGE	springframework roo addon web mvc control 
MTHSIG2	setup 
MTHSIG3	generateal gener javapackag javapackag 
VARIABLES	javapackag cid control entiti disallowedoper disallow oper path coitd oper filemanag file manag metadataservic metadata servic projectoper project oper webmvcoper web mvc oper dependencyregistri depend registri typelocationservic type locat servic typemanagementservic type manag servic roo web scaffold control request map log javatyp type path downstreamwebscaffoldmetadataid downstream web scaffold metadata pluralmetadata plural metadata control pathnam path mappingattribut map attribut stringpath path resourceidentifi resourc identifi annot roowebscaffoldattribut roo web scaffold attribut requestmappingattribut request map attribut controllerattribut control attribut declaredbymetadataid declar metadata typedetailsbuild type detail builder 
