VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	javatyp type entiti 
VARSIG8	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG3	producedmid produc mid 
VARSIG2	upstreamdepend upstream depend 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	implement link integrationtestmetadataprovid integr test metadata provid integr test class configur dod class provid relationship notifi projectmetadata project metadata order handl jpa gae persist upstream depend invalid upstream depend isn projectmetadata project metadata projectmetadata project metadata isn valid determin persist chang compar current governor type detail safe pars annot expect lookup dod dod metadata dod conform dod name convent inform depend metadata lookup entiti entiti metadata order handl switch gae jpa produc mid rememb regener jpa gae 
VARSIG1	componentcontext compon context context 
VARSIG0	componentcontext compon context context 
MTHSIG4	getentitysuperclass entiti superclass javatyp type entiti 
VARSIG12	path path 
MTHSIG5	getitduniquenessfilenamesuffix uniqu filenam suffix 
VARSIG11	javatyp type javatyp type 
MTHSIG6	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARSIG10	metadataidentificationstr metadata identif 
MTHSIG7	createlocalidentifi creat local identifi javatyp type javatyp type path path 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	deactiv componentcontext compon context context 
PACKAGE	springframework roo addon test 
MTHSIG2	notifyforgenericlisten notifi listen upstreamdepend upstream depend 
MTHSIG3	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
MTHSIG8	getprovidestyp type 
CLASSES	integrationtestmetadataproviderimpl integr test metadata provid impl 
METHODS	activ deactiv notifyforgenericlisten notifi listen getmetadata metadata getentitysuperclass entiti superclass getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
VARIABLES	context context upstreamdepend upstream depend producedmid produc mid metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam memberholdingtypedetail member hold type detail entiti metadataidentificationstr metadata identif javatyp type path configurablemetadataprovid configur metadata provid projectoper project oper producedmid produc mid wasgaeen gae enabl projectmetadata project metadata isgaeen gae enabl hasgaestatechang gae chang projectmetadata project metadata annotationvalu annot valu dodjavatyp dod type dataondemandmetadatakei data demand metadata kei dataondemandmetadata data demand metadata memberdetail member detail identifieraccessormethod identifi accessor versionaccessormethod version accessor countmethod count findmethod find findallmethod find findentriesmethod find entri flushmethod flush mergemethod merg persistmethod persist removemethod remov transactionmanag transact manag rooentiti roo entiti transactionmanagerattr transact manag attr hasembeddedidentifi embed identifi entityhassuperclass entiti superclass physicaltypeidentifi physic type identifi ptm ptd classorinterfacetypedetail type detail javatyp type path 
