MTHSIG28	getentitymanagermethod entiti manag 
MTHSIG29	getcountmethod count 
MTHSIG26	addtransactionalannot add transact annot list annotationmetadatabuild annot metadata builder annot ispersistmethod persist 
MTHSIG27	addtransactionalannot add transact annot list annotationmetadatabuild annot metadata builder annot 
MTHSIG24	getmergemethod merg 
MTHSIG25	getdelegatemethod deleg javasymbolnam symbol methodnam methoddelegatenam deleg 
MTHSIG22	getflushmethod flush 
MTHSIG23	getclearmethod clear 
MTHSIG4	gettypeannot type annot javatyp type annotationtyp annot type 
MTHSIG5	gettableannot tabl annot 
MTHSIG6	getinheritanceannot inherit annot 
MTHSIG7	getdiscriminatorcolumnannot discrimin column annot 
MTHSIG0	entitymetadata entiti metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata entitymetadata entiti metadata parent projectmetadata project metadata projectmetadata project metadata entityannotationvalu entiti annot valu annotationvalu annot valu noargconstructor arg constructor plural memberdetail member detail memberdetail member detail list identifi identifierserviceresult identifi servic result 
MTHSIG1	processidentifi process identifi list identifi identifierserviceresult identifi servic result 
PACKAGE	springframework roo addon entiti 
MTHSIG2	getentityannot entiti annot 
MTHSIG3	getmappedsuperclassannot map superclass annot 
MTHSIG20	getpersistmethod persist 
MTHSIG21	getremovemethod remov 
MTHSIG8	getentitymanagerfield entiti manag field 
MTHSIG9	getnoargconstructor arg constructor 
MTHSIG39	createidentifi creat identifi javatyp type javatyp type path path 
MTHSIG37	tostr 
MTHSIG38	getmetadataidentifiertyp metadata identifi type 
MTHSIG35	getplur plural 
MTHSIG36	getentitynam entiti 
MTHSIG33	addsuppresswarn add suppress warn list annotationmetadatabuild annot metadata builder annot 
MTHSIG34	getdynamicfind dynam finder 
CLASSES	entitymetadata entiti metadata 
METHODS	entitymetadata entiti metadata processidentifi process identifi getentityannot entiti annot getmappedsuperclassannot map superclass annot gettypeannot type annot gettableannot tabl annot getinheritanceannot inherit annot getdiscriminatorcolumnannot discrimin column annot getentitymanagerfield entiti manag field getnoargconstructor arg constructor getidentifierfield identifi field getidentifierfield identifi field getidentifierfieldnam identifi field getidentifiertyp identifi type getidentifiercolumn identifi column getidentifieraccessor identifi accessor getidentifiermut identifi mutat getversionfield version field getversionaccessor version accessor getversionmut version mutat getpersistmethod persist getremovemethod remov getflushmethod flush getclearmethod clear getmergemethod merg getdelegatemethod deleg addtransactionalannot add transact annot addtransactionalannot add transact annot getentitymanagermethod entiti manag getcountmethod count getfindallmethod find getfindmethod find getfindentriesmethod find entri addsuppresswarn add suppress warn getdynamicfind dynam finder getplur plural getentitynam entiti tostr getmetadataidentifiertyp metadata identifi type createidentifi creat identifi getjavatyp type getpath path isvalid valid 
