VARSIG3	set disallowedoper disallow oper 
VARSIG2	javatyp type entiti 
VARSIG4	path 
COMMENTS	link controlleroperationsimpl control oper impl creat spring mvc control jpa entiti project javapackag control scaffold creat spring mvc control automat scaffold request map assign commenc 
CLASSES	controlleroper control oper 
VARSIG1	javatyp type control 
VARSIG0	javapackag javapackag 
METHODS	generateal gener setup isnewcontrolleravail control isscaffoldavail scaffold createautomaticcontrol creat automat control 
MTHSIG4	createautomaticcontrol creat automat control javatyp type control javatyp type entiti set disallowedoper disallow oper path 
MTHSIG0	generateal gener javapackag javapackag 
MTHSIG1	setup 
PACKAGE	springframework roo addon web mvc control 
MTHSIG2	isnewcontrolleravail control 
MTHSIG3	isscaffoldavail scaffold 
VARIABLES	javapackag control entiti disallowedoper disallow oper path 
