VARSIG7	categori 
VARSIG6	messag 
VARSIG9	 
VARSIG8	kei 
VARSIG3	messag 
VARSIG2	messag 
VARSIG5	revstr 
VARSIG4	maxhistori max histori 
COMMENTS	oper offer git addon trigger commit git tree work git commmit messag messag commit messag trigger git reset hard noofcommitstoreset commit reset number commit reset head messag commit messag trigger revert commit messag commit messag git log maxhistori max histori trigger revert commit rev revstr messag trigger git push conveni access git config set config option categori git config categori kei config kei config initi setup git repositori target project check git command shell depend presenc git repositori avail check git setup command shell avail check automat commit enabl success roo command automaticcommit automat commit 
VARSIG1	noofcommitstoreset commit reset 
VARSIG0	messag 
MTHSIG4	revertcommit revert commit revstr messag 
MTHSIG5	push 
MTHSIG6	setconfig set config categori kei 
MTHSIG7	setup 
MTHSIG0	commitallchang commit messag 
MTHSIG1	reset noofcommitstoreset commit reset messag 
PACKAGE	springframework roo addon git 
MTHSIG2	revertlastcommit revert commit messag 
MTHSIG3	log maxhistori max histori 
MTHSIG8	isgitcommandavail git command 
MTHSIG9	issetupcommandavail setup command 
CLASSES	gitoper git oper 
METHODS	commitallchang commit reset revertlastcommit revert commit log revertcommit revert commit push setconfig set config setup isgitcommandavail git command issetupcommandavail setup command isautomaticcommit automat commit 
MTHSIG10	isautomaticcommit automat commit 
VARIABLES	messag noofcommitstoreset commit reset messag messag maxhistori max histori revstr messag categori kei 
