VARSIG3	list fieldmetadata field metadata identifierfield identifi field 
VARSIG2	fieldmetadata field metadata embeddedidentifierfield embed identifi field 
COMMENTS	holder embed identifi attribut 
CLASSES	embeddedidentifierhold embed identifi holder 
VARSIG1	list fieldmetadata field metadata identifierfield identifi field 
VARSIG0	fieldmetadata field metadata embeddedidentifierfield embed identifi field 
METHODS	embeddedidentifierhold embed identifi holder getembeddedidentifierfield embed identifi field setembeddedidentifierfield set embed identifi field getidentifierfield identifi field setidentifierfield set identifi field 
MTHSIG4	setidentifierfield set identifi field list fieldmetadata field metadata identifierfield identifi field 
MTHSIG0	embeddedidentifierhold embed identifi holder fieldmetadata field metadata embeddedidentifierfield embed identifi field list fieldmetadata field metadata identifierfield identifi field 
MTHSIG1	getembeddedidentifierfield embed identifi field 
PACKAGE	springframework roo addon dbre 
MTHSIG2	setembeddedidentifierfield set embed identifi field fieldmetadata field metadata embeddedidentifierfield embed identifi field 
MTHSIG3	getidentifierfield identifi field 
VARIABLES	embeddedidentifierfield embed identifi field identifierfield identifi field embeddedidentifierfield embed identifi field identifierfield identifi field embeddedidentifierfield embed identifi field identifierfield identifi field 
