VARSIG7	object 
VARSIG6	javasymbolnam symbol findernam finder 
VARSIG3	javatyp type 
VARSIG2	javasymbolnam symbol finder 
VARSIG5	javatyp type typenam type 
VARSIG4	runtimeexcept runtim except 
COMMENTS	implement link finderoper finder oper entiti metadata type finder entiti entiti metadata member detail comput finder avoid displai problemat finder queri queri entiti metadata type finder entiti entiti metadata file exist there entiti metadata reason sourc file line suddenli exist rooentiti roo entiti annot confirm type valid finder destin list store attribut copi exist attribut exclud finder attribut ensur arrai string add desir finder let add finder attribut 
CLASSES	finderoperationsimpl finder oper impl 
VARSIG1	integ depth 
VARSIG0	javatyp type typenam type 
METHODS	isfindercommandavail finder command listfindersfor list finder installfind instal finder geterrormsg error msg 
MTHSIG0	isfindercommandavail finder command 
MTHSIG1	listfindersfor list finder javatyp type typenam type integ depth 
PACKAGE	springframework roo addon finder 
MTHSIG2	installfind instal finder javatyp type typenam type javasymbolnam symbol findernam finder 
MTHSIG3	geterrormsg error msg 
VARIABLES	typenam type depth finder typenam type findernam finder logger roo entiti dynamicfinderservic dynam finder servic filemanag file manag memberdetailsscann member detail scanner metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid projectoper project oper javatyp type path entitymid entiti mid entitymetadata entiti metadata physicaltypemetadata physic type metadata cid memberdetail member detail exclus result finder queryhold queri holder parameternam paramet name parametertyp paramet type signatur javatyp type path entitymid entiti mid entitymetadata entiti metadata physicaltypemetadata physic type metadata ptd mutabl annot rooentityannot roo entiti annot memberdetail member detail attribut desiredfind desir finder alreadyad val arrayv arrai val annot 
