VARSIG7	requiredtyp requir type 
VARSIG6	list complet 
VARSIG9	optioncontext option context 
VARSIG8	existingdata exist data 
VARSIG3	ioexcept except 
VARSIG2	optioncontext option context 
VARSIG5	optioncontext option context 
VARSIG4	requiredtyp requir type 
COMMENTS	convers cloud foundri model class 
CLASSES	clouddeployablefileconvert cloud deploy file convert 
VARSIG1	requiredtyp requir type 
VARSIG0	 
METHODS	convertfromtext convert text support getallpossiblevalu valu getoppositefilesepar file separ escapestr escap 
MTHSIG4	escapestr escap toescap escap 
VARSIG12	toescap escap 
VARSIG11	filedetail file detail filedetail file detail 
VARSIG10	methodtarget target target 
MTHSIG0	convertfromtext convert text requiredtyp requir type optioncontext option context 
MTHSIG1	support requiredtyp requir type optioncontext option context 
PACKAGE	springframework roo addon cloud foundri convert 
MTHSIG2	getallpossiblevalu valu list complet requiredtyp requir type existingdata exist data optioncontext option context methodtarget target target 
MTHSIG3	getoppositefilesepar file separ 
VARIABLES	requiredtyp requir type optioncontext option context requiredtyp requir type optioncontext option context complet requiredtyp requir type existingdata exist data optioncontext option context target filedetail file detail toescap escap logger creat option filemanag file manag projectoper project oper rootpath root path filedetail file detail filetodeploi file deploi oppositefilesepar file separ path filetodeploi file deploi rootpath root path filedetail file detail filesepar file separ result iter charact 
