VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	metadataidentificationstr metadata identif 
VARSIG8	memberdetail member detail memberdetail member detail 
VARSIG3	methodmetadata metadata 
VARSIG2	itdtypedetail type detail itdtypedetail type detail 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	implement link dataondemandmetadataprovid data demand metadata provid dod class configur dod class provid relationship determin governor dod metadata hope hear javatyp type itd dod interest javatyp type let move dod metadata let check care method match requir dod care javatyp type offer interest let formal trigger note scan discov regist direct depend pars annot expect rememb entiti javatyp type match dod dod metadata identif start clear previou associ inform depend metadata identifi mutat care entiti embed identifi metadata holder embed identifi exist list embed metadata holder empti list embed identifi exist avoid unnecessari rewrit dod sort mutat provid consist order add method care locatedmut locat mutat includ version field shouldn mutat user embed type includ persist field includ sort collect user entiti hand collabor metadata track check field type ensur persist type check field manytoon onetoon annot metadata reli 
VARSIG19	metadataidentificationstr metadata identif 
VARSIG1	componentcontext compon context context 
VARSIG18	fieldmetadata field metadata field 
VARSIG0	componentcontext compon context context 
VARSIG17	fieldmetadata field metadata embeddedfield embed field 
MTHSIG4	getlocatedmut locat mutat memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG12	memberdetail member detail memberdetail member detail 
MTHSIG5	getembeddedidentifierhold embed identifi holder memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG11	methodmetadata metadata 
MTHSIG6	getembeddedhold embed holder memberdetail member detail memberdetail member detail metadataidentificationstr metadata identif 
VARSIG10	methodmetadata metadata object 
MTHSIG7	locatecollaboratingmetadata locat collabor metadata metadataidentificationstr metadata identif fieldmetadata field metadata field 
MTHSIG0	activ componentcontext compon context context 
VARSIG16	metadataidentificationstr metadata identif 
MTHSIG1	deactiv componentcontext compon context context 
VARSIG15	memberdetail member detail memberdetail member detail 
PACKAGE	springframework roo addon dod 
MTHSIG2	getlocalmidtorequest local mid request itdtypedetail type detail itdtypedetail type detail 
VARSIG14	fieldmetadata field metadata field 
MTHSIG3	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARSIG13	metadataidentificationstr metadata identif 
MTHSIG8	getitduniquenessfilenamesuffix uniqu filenam suffix 
MTHSIG9	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
MTHSIG11	getprovidestyp type 
CLASSES	dataondemandmetadataproviderimpl data demand metadata provid impl 
METHODS	activ deactiv getlocalmidtorequest local mid request getmetadata metadata getlocatedmut locat mutat getembeddedidentifierhold embed identifi holder getembeddedhold embed holder locatecollaboratingmetadata locat collabor metadata getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
VARSIG23	path path 
VARSIG22	javatyp type javatyp type 
VARSIG21	metadataidentificationstr metadata identif 
VARSIG20	fieldmetadata field metadata field 
MTHSIG10	createlocalidentifi creat local identifi javatyp type javatyp type path path 
VARIABLES	context context itdtypedetail type detail metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam memberdetail member detail metadataidentificationstr metadata identif object memberdetail member detail metadataidentificationstr metadata identif field memberdetail member detail metadataidentificationstr metadata identif embeddedfield embed field field metadataidentificationstr metadata identif field metadataidentificationstr metadata identif javatyp type path configurablemetadataprovid configur metadata provid entitytododmidmap entiti dod mid map dodmidtoentitymap dod mid entiti map governor localmid local mid annotationvalu annot valu oldent entiti memberdetail member detail persistencememberholdingtypedetail persist member hold type detail findentriesmethod find entri persistmethod persist flushmethod flush findmethod find identifieraccessor identifi accessor locatedmut locat mutat embeddedidentifierhold embed identifi holder embeddedhold embed holder locatedmut locat mutat mutatormethod mutat method propertynam properti field fieldcustomdatakei field custom data othermetadata metadata identifierfield identifi field field embeddedidentifierfield embed identifi field identifiermemberdetail identifi member detail embeddedhold embed holder embeddedfield embed field embeddedmemberdetail embed member detail field memberdetail member detail persistencememberholdingtypedetail persist member hold type detail otherprovid provid collaboratingmetadata collabor metadata javatyp type path 
