MTHSIG4	setup 
MTHSIG0	setupcommandavail setup command 
MTHSIG1	solrcommandavail solr command 
PACKAGE	springframework roo addon solr 
MTHSIG2	setup searchserverurl search server url 
MTHSIG3	setup javatyp type javatyp type 
COMMENTS	command solr search add roo shell 
CLASSES	solrcommand solr command 
VARIABLES	searchserverurl search server url javatyp type searchoper search oper 
VARSIG1	clioption cli option kei mandatori unspecifieddefaultvalu unspecifi optioncontext option context updat project target type searchabl javatyp type javatyp type 
VARSIG0	clioption cli option kei searchserverurl search server url mandatori unspecifieddefaultvalu unspecifi http localhost solr specifieddefaultvalu http localhost solr url solr search server searchserverurl search server url 
METHODS	setupcommandavail setup command solrcommandavail solr command setup setup setup 
