MTHSIG28	getinnertyp type 
MTHSIG29	getenclosingtypenam enclos type 
MTHSIG26	getcompilationunitpackag compil unit 
MTHSIG27	getimport import 
MTHSIG24	createorupdatetypeondisk creat updat type disk filemanag file manag filemanag file manag classorinterfacetypedetail type detail cit fileidentifi file identifi 
MTHSIG25	tostr 
MTHSIG22	getresolvednam resolv javatyp type target javatyp type current compilationunit compil unit compilationunit compil unit 
MTHSIG23	getresolvednam resolv javatyp type target javatyp type current compilationunitservic compil unit servic compilationunit compil unit 
VARSIG39	methodmetadata metadata candid 
MTHSIG4	getdeclaredbymetadataid declar metadata 
VARSIG34	javatyp type current 
MTHSIG5	getmodifi modifi 
VARSIG33	javatyp type 
MTHSIG6	getsuperclass superclass 
VARSIG32	javatyp type current 
MTHSIG7	getphysicaltypecategori physic type categori 
VARSIG31	importmetadata metadata importtyp type 
MTHSIG0	javaparserclassorinterfacetypedetail parser type detail compilationunit compil unit compilationunit compil unit typedeclar type declar typedeclar type declar declaredbymetadataid declar metadata javatyp type typenam type metadataservic metadata servic metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
VARSIG38	constructormetadata constructor metadata candid 
MTHSIG1	getdefaultcompilationunitservic compil unit servic 
VARSIG37	fieldmetadata field metadata candid 
PACKAGE	springframework roo classpath javapars 
MTHSIG2	javaparserclassorinterfacetypedetail parser type detail compilationunit compil unit compilationunit compil unit compilationunitservic compil unit servic enclosingcompilationunitservic enclos compil unit servic typedeclar type declar typedeclar type declar declaredbymetadataid declar metadata javatyp type typenam type metadataservic metadata servic metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
VARSIG36	javasymbolnam symbol constant 
MTHSIG3	javaparserclassorinterfacetypedetail parser type detail typecont type content declaredbymetadataid declar metadata javatyp type typenam type metadataservic metadata servic metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
VARSIG35	annotationmetadata annot metadata candid 
MTHSIG20	getcompilationunitcont compil unit content classorinterfacetypedetail type detail cit 
MTHSIG21	addenumconst add constant compilationunitservic compil unit servic compilationunitservic compil unit servic list enumconstantdeclar constant declar constant javasymbolnam symbol 
MTHSIG8	getnam 
VARSIG30	list bodydeclar bodi declar parent 
MTHSIG9	getdeclaredconstructor declar constructor 
CLASSES	javaparserclassorinterfacetypedetail parser type detail 
VARSIG29	classorinterfacetypedetail type detail cit 
VARSIG28	compilationunitservic compil unit servic enclosingcompilationunitservic enclos compil unit servic 
METHODS	javaparserclassorinterfacetypedetail parser type detail getdefaultcompilationunitservic compil unit servic javaparserclassorinterfacetypedetail parser type detail javaparserclassorinterfacetypedetail parser type detail getdeclaredbymetadataid declar metadata getmodifi modifi getsuperclass superclass getphysicaltypecategori physic type categori getnam getdeclaredconstructor declar constructor getenumconst constant getdeclaredfield declar field getdeclaredmethod declar method getdeclaredinnertyp declar type getdeclarediniti declar initi getextendstyp type getimplementstyp type getregisteredimport regist import getannot annot updateoutput updat output getcompilationunitcont compil unit content addenumconst add constant getresolvednam resolv getresolvednam resolv createorupdatetypeondisk creat updat type disk tostr getcompilationunitpackag compil unit getimport import getinnertyp type getenclosingtypenam enclos type 
VARSIG23	declaredbymetadataid declar metadata 
VARSIG22	typecont type content 
