VARSIG3	javatyp type governortyp governor type 
VARSIG2	gwttype gwt type mirrortyp mirror type 
VARSIG5	projectmetadata project metadata projectmetadata project metadata 
VARSIG4	gwttype gwt type type 
COMMENTS	util method gwt add 
CLASSES	gwtutil gwt util 
VARSIG1	javatyp type governortyp governor type 
VARSIG0	projectmetadata project metadata projectmetadata project metadata 
METHODS	gwtutil gwt util getmirrortypemap mirror type map convertgovernortypenameintokeytypenam convert governor type kei type 
MTHSIG0	gwtutil gwt util 
MTHSIG1	getmirrortypemap mirror type map projectmetadata project metadata projectmetadata project metadata javatyp type governortyp governor type 
PACKAGE	springframework roo addon gwt 
MTHSIG2	convertgovernortypenameintokeytypenam convert governor type kei type javatyp type governortyp governor type gwttype gwt type type projectmetadata project metadata projectmetadata project metadata 
VARIABLES	projectmetadata project metadata governortyp governor type mirrortyp mirror type governortyp governor type type projectmetadata project metadata mirrortypemap mirror type map destinationpackag destin typenam type simpl 
