VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	javatyp type javatyp type 
VARSIG8	metadataidentificationstr metadata identif 
VARSIG3	type 
VARSIG2	type 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	implement link entitymetadataprovid entiti metadata provid governor type detail safe pars annot expect walk inherit hierarchi find exist entitymetadata entiti metadata plural can acquir plural project chanc refresh item monitor parent type parent trickl govern type disabl autom creation arg constructor add provid sophist constructor creation facil noargconstructor arg constructor automat link entitymetadata entiti metadata arg constructor arg constructor defin link physicaltypemetadata physic type metadata default 
VARSIG1	componentcontext compon context context 
VARSIG0	componentcontext compon context context 
MTHSIG4	getannotationmetadata annot metadata type 
MTHSIG5	getannotationmetadatalist annot metadata list type 
VARSIG11	noargconstructor arg constructor 
MTHSIG6	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARSIG10	path path 
MTHSIG7	getitduniquenessfilenamesuffix uniqu filenam suffix 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	deactiv componentcontext compon context context 
PACKAGE	springframework roo addon entiti 
MTHSIG2	registermatch regist matcher 
MTHSIG3	unregistermatch unregist matcher 
MTHSIG8	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
MTHSIG9	createlocalidentifi creat local identifi javatyp type javatyp type path path 
MTHSIG11	setnoargconstructor set arg constructor noargconstructor arg constructor 
CLASSES	entitymetadataproviderimpl entiti metadata provid impl 
METHODS	activ deactiv registermatch regist matcher unregistermatch unregist matcher getannotationmetadata annot metadata getannotationmetadatalist annot metadata list getmetadata metadata getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type setnoargconstructor set arg constructor 
MTHSIG10	getprovidestyp type 
VARIABLES	context context type type metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam metadataidentificationstr metadata identif javatyp type path noargconstructor arg constructor configurablemetadataprovid configur metadata provid pluralmetadataprovid plural metadata provid customdatakeydecor custom data kei decor noargconstructor arg constructor idannot annot embeddedidannot embed annot idandembeddedidfieldtagg embed field tagger identifierfieldtagg identifi field tagger embeddedidfieldtagg embed field tagger annotationmetadata annot metadata versionfieldtagg version field tagger annotationvalu annot valu parent supercid cid supercidphysicaltypeidentifi cid physic type identifi path supercidlocalidentifi cid local identifi javatyp type path kei pluralmetadata plural metadata projectmetadata project metadata memberdetail member detail identifierserviceresult identifi servic result javatyp type path 
