VARSIG3	mailprotocol mail protocol 
VARSIG2	object obj 
COMMENTS	protocol email add 
CLASSES	mailprotocol mail protocol 
VARSIG1	protocol 
VARSIG0	protocollabel protocol label 
METHODS	mailprotocol mail protocol getprotocol protocol equal compareto compar tostr getkei kei 
MTHSIG4	tostr 
MTHSIG5	getkei kei 
MTHSIG0	mailprotocol mail protocol protocollabel protocol label protocol 
MTHSIG1	getprotocol protocol 
PACKAGE	springframework roo addon email 
MTHSIG2	equal object obj 
MTHSIG3	compareto compar mailprotocol mail protocol 
VARIABLES	protocollabel protocol label protocol obj protocollabel protocol label protocol smtp pop pop imap result tsc 
