VARSIG7	metadataidentificationstr metadata identif 
VARSIG6	itdfilenam filenam 
VARSIG9	path path 
VARSIG8	javatyp type javatyp type 
VARSIG3	metadataidentificationstr metadata identif 
VARSIG2	filemanag file manag filemanag file manag 
VARSIG5	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG4	javatyp type aspectnam aspect 
COMMENTS	link editormetadata editor metadata governor type detail safe pars annot expect lookup form back object object metadata lookup metadata depend abort couldn find depend metadata inform depend metadata monitor parent type parent trickl govern type 
CLASSES	editormetadataprovid editor metadata provid 
VARSIG1	metadatadependencyregistri metadata depend registri metadatadependencyregistri metadata depend registri 
VARSIG0	metadataservic metadata servic metadataservic metadata servic 
METHODS	editormetadataprovid editor metadata provid getmetadata metadata getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
MTHSIG4	createlocalidentifi creat local identifi javatyp type javatyp type path path 
MTHSIG5	getprovidestyp type 
MTHSIG0	editormetadataprovid editor metadata provid metadataservic metadata servic metadataservic metadata servic metadatadependencyregistri metadata depend registri metadatadependencyregistri metadata depend registri filemanag file manag filemanag file manag 
MTHSIG1	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
PACKAGE	springframework roo addon properti editor 
MTHSIG2	getitduniquenessfilenamesuffix uniqu filenam suffix 
MTHSIG3	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARIABLES	metadataservic metadata servic metadatadependencyregistri metadata depend registri filemanag file manag metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam metadataidentificationstr metadata identif javatyp type path annotationvalu annot valu javatyp type path beaninfometadatakei bean info metadata kei entitymetadatakei entiti metadata kei beaninfometadata bean info metadata entitymetadata entiti metadata javatyp type path physicaltypeidentifi physic type identifi 
