VARSIG3	processmanagerstatuslisten process manag statu listen listen 
VARSIG2	processmanagerstatu process manag statu processmanagerstatu process manag statu 
VARSIG4	processmanagerstatu process manag statu initialstatu initi statu 
COMMENTS	conveni superclass link processmanag process manag wish publish statu messag obtain process manag statu synchron set process manag statu synchron chang singl object instanc chang link processmanagerstatu process manag statu need singl object instanc synchron purpos 
CLASSES	abstractprocessmanagerstatuspublish process manag statu publish 
VARSIG1	processmanagerstatuslisten process manag statu listen processmanagerstatuslisten process manag statu listen 
VARSIG0	processmanagerstatuslisten process manag statu listen processmanagerstatuslisten process manag statu listen 
METHODS	addprocessmanagerstatuslisten add process manag statu listen removeprocessmanagerstatuslisten remov process manag statu listen getprocessmanagerstatu process manag statu setprocessmanagerstatu set process manag statu 
MTHSIG0	addprocessmanagerstatuslisten add process manag statu listen processmanagerstatuslisten process manag statu listen processmanagerstatuslisten process manag statu listen 
MTHSIG1	removeprocessmanagerstatuslisten remov process manag statu listen processmanagerstatuslisten process manag statu listen processmanagerstatuslisten process manag statu listen 
PACKAGE	springframework roo process manag event 
MTHSIG2	getprocessmanagerstatu process manag statu 
MTHSIG3	setprocessmanagerstatu set process manag statu processmanagerstatu process manag statu processmanagerstatu process manag statu 
VARIABLES	processmanagerstatuslisten process manag statu listen processmanagerstatuslisten process manag statu listen processmanagerstatu process manag statu listen initialstatu initi statu processmanagerstatuslisten process manag statu listen processmanagerstatu process manag statu statu 
