VARSIG7	oper 
VARSIG6	clioption cli option kei disallowedoper disallow oper mandatori comma separ list oper creat updat delet allow gener control disallowedoper disallow oper 
VARSIG3	clioption cli option kei mandatori path control object creat javatyp type control 
VARSIG2	clioption cli option kei mandatori control javapackag javapackag 
VARSIG5	clioption cli option kei path mandatori base path control listen rest re tful request default simpl form back object path 
VARSIG4	clioption cli option kei entiti mandatori optioncontext option context updat project unspecifieddefaultvalu unspecifi entiti object control expos web tier javatyp type entiti 
COMMENTS	command mvc control add roo shell 
CLASSES	controllercommand control command 
VARSIG1	metadataservic metadata servic metadataservic metadata servic 
VARSIG0	controlleroper control oper controlleroper control oper 
METHODS	controllercommand control command isnewcontrolleravail control generateal gener newcontrol control 
MTHSIG0	controllercommand control command controlleroper control oper controlleroper control oper metadataservic metadata servic metadataservic metadata servic 
MTHSIG1	isnewcontrolleravail control 
PACKAGE	springframework roo addon web mvc control 
MTHSIG2	generateal gener javapackag javapackag 
MTHSIG3	newcontrol control javatyp type control javatyp type entiti path disallowedoper disallow oper 
VARIABLES	controlleroper control oper metadataservic metadata servic javapackag control entiti path disallowedoper disallow oper oper logger controlleroper control oper metadataservic metadata servic projectmetadata project metadata disallowedoperationset disallow oper set 
