VARSIG3	shellstatuslisten shell statu listen listen 
VARSIG2	shellstatu shell statu shellstatu shell statu 
COMMENTS	conveni superclass shell wish publish statu messag 
CLASSES	abstractshellstatuspublish shell statu publish 
VARSIG1	shellstatuslisten shell statu listen shellstatuslisten shell statu listen 
VARSIG0	shellstatuslisten shell statu listen shellstatuslisten shell statu listen 
METHODS	addshellstatuslisten add shell statu listen removeshellstatuslisten remov shell statu listen getshellstatu shell statu setshellstatu set shell statu 
MTHSIG0	addshellstatuslisten add shell statu listen shellstatuslisten shell statu listen shellstatuslisten shell statu listen 
MTHSIG1	removeshellstatuslisten remov shell statu listen shellstatuslisten shell statu listen shellstatuslisten shell statu listen 
PACKAGE	springframework roo shell event 
MTHSIG2	getshellstatu shell statu 
MTHSIG3	setshellstatu set shell statu shellstatu shell statu shellstatu shell statu 
VARIABLES	shellstatuslisten shell statu listen shellstatuslisten shell statu listen shellstatu shell statu listen shellstatuslisten shell statu listen shellstatu shell statu 
