VARSIG7	execut 
VARSIG6	goal 
VARSIG9	document document 
VARSIG8	object obj 
VARSIG3	goal 
VARSIG2	configur configur 
VARSIG5	phase 
VARSIG4	 
COMMENTS	immut represent execut specif maven build plugin constructor uniqu execut requir phase maven life cycl phase execut bound requir configur execut level configur goal goal execut constructor execut level link configur uniqu execut requir phase maven life cycl phase execut bound requir goal goal execut return execut execut configur separ configur defin plugin level return xml element execut maven pom document maven pom add element requir element phase goal configur return goal execut execut empti list return uniqu execut blank return maven lifecycl phase execut bound blank phase 
VARSIG1	phase 
VARSIG0	 
MTHSIG4	getconfigur configur 
MTHSIG5	getel element document document 
MTHSIG6	getgoal goal 
VARSIG10	goal 
MTHSIG7	getid 
MTHSIG0	execut phase configur configur goal 
MTHSIG1	execut phase goal 
PACKAGE	springframework roo project 
MTHSIG2	compareto compar execut 
MTHSIG3	equal object obj 
MTHSIG8	getphas phase 
MTHSIG9	hashcod hash code 
CLASSES	execut 
METHODS	execut execut compareto compar equal getconfigur configur getel element getgoal goal getid getphas phase hashcod hash code tostr 
MTHSIG10	tostr 
VARIABLES	phase configur goal phase goal obj document goal configur goal phase result thisgoal goal ogoal goal executionel execut element goalsel goal element configurationnod configur node prime result tsb 
