VARSIG7	layerposit layer posit 
VARSIG6	javatyp type idtyp type 
VARSIG9	metadataidentificationstr metadata identif 
VARSIG8	collect methodparamet paramet methodparamet paramet 
VARSIG3	metadataidentificationstr metadata identif 
VARSIG2	layerprovid layer provid provid 
VARSIG5	javatyp type targetent target entiti 
VARSIG4	methodidentifi identifi 
COMMENTS	link layerservic layer servic implement sort link layerprovid layer provid descend order posit mutex 
VARSIG1	layerprovid layer provid provid provid 
VARSIG0	layerprovid layer provid provid provid 
VARSIG12	javatyp type idtyp type 
VARSIG11	javatyp type targetent target entiti 
VARSIG10	methodidentifi identifi 
MTHSIG0	bindlayerprovid bind layer provid layerprovid layer provid provid 
VARSIG16	layerprovid layer provid provid 
MTHSIG1	getmembertypeaddit member type addit metadataidentificationstr metadata identif methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type layerposit layer posit collect methodparamet paramet methodparamet paramet 
VARSIG15	layerprovid layer provid provid 
PACKAGE	springframework roo classpath layer 
MTHSIG2	getmembertypeaddit member type addit metadataidentificationstr metadata identif methodidentifi identifi javatyp type targetent target entiti javatyp type idtyp type layerposit layer posit methodparamet paramet methodparamet paramet 
VARSIG14	methodparamet paramet methodparamet paramet 
MTHSIG3	unbindlayerprovid unbind layer provid layerprovid layer provid provid 
VARSIG13	layerposit layer posit 
CLASSES	layerserviceimpl layer servic impl 
METHODS	bindlayerprovid bind layer provid getmembertypeaddit member type addit getmembertypeaddit member type addit unbindlayerprovid unbind layer provid 
VARIABLES	provid provid provid provid provid metadataidentificationstr metadata identif methodidentifi identifi targetent target entiti idtyp type layerposit layer posit methodparamet paramet metadataidentificationstr metadata identif methodidentifi identifi targetent target entiti idtyp type layerposit layer posit methodparamet paramet provid provid serialversionuid serial version uid differ mutex provid methodparametersarrai paramet arrai addit 
