VARSIG7	modulenam modul 
VARSIG6	gwttype gwt type type 
VARSIG3	classorinterfacetypedetail type detail governortypedetail governor type detail 
VARSIG2	list methodmetadata metadata proxymethod proxi method 
VARSIG5	modulenam modul 
VARSIG4	map javasymbolnam symbol gwtproxyproperti gwt proxi properti clientsidetypemap client side type map 
COMMENTS	link gwttemplateserviceimpl gwt templat servic impl 
CLASSES	gwttemplateservic gwt templat servic 
VARSIG1	destfil dest file 
VARSIG0	templatecont templat content 
METHODS	builduixml build xml getmirrortemplatetypedetail mirror templat type detail getstatictemplatetypedetail templat type detail 
MTHSIG0	builduixml build xml templatecont templat content destfil dest file list methodmetadata metadata proxymethod proxi method 
MTHSIG1	getmirrortemplatetypedetail mirror templat type detail classorinterfacetypedetail type detail governortypedetail governor type detail map javasymbolnam symbol gwtproxyproperti gwt proxi properti clientsidetypemap client side type map modulenam modul 
PACKAGE	springframework roo addon gwt 
MTHSIG2	getstatictemplatetypedetail templat type detail gwttype gwt type type modulenam modul 
VARIABLES	templatecont templat content destfil dest file proxymethod proxi method governortypedetail governor type detail clientsidetypemap client side type map modulenam modul type modulenam modul 
